Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Januar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
2010-01-01;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;15;1;
;34;15;4;
;35;15;11;
;36;15;20;
;37;116;36;
;38;116;54;
;39;116;79;
;40;116;102;
;41;242;123;
;42;242;144;
;43;242;163;
;44;242;190;
;45;313;210;
;46;313;213;
;47;313;215;
;48;313;217;
;49;328;214;
;50;328;210;
;51;328;201;
;52;328;203;
;53;293;197;
;54;293;196;
;55;293;178;
;56;293;162;
;57;202;139;
;58;202;122;
;59;202;100;
;60;202;77;
;61;71;56;
;62;71;39;
;63;71;22;
;64;71;11;
;65;9;4;
;66;9;2;
;67;9;0;
;68;9;0;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-02;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;18;0;
;34;18;1;
;35;18;4;
;36;18;6;
;37;113;19;
;38;113;29;
;39;113;36;
;40;113;49;
;41;253;69;
;42;253;81;
;43;253;99;
;44;253;117;
;45;335;129;
;46;335;147;
;47;335;162;
;48;335;169;
;49;353;179;
;50;353;178;
;51;353;199;
;52;353;196;
;53;311;202;
;54;311;172;
;55;311;172;
;56;311;167;
;57;200;165;
;58;200;159;
;59;200;147;
;60;200;140;
;61;57;117;
;62;57;87;
;63;57;51;
;64;57;31;
;65;13;16;
;66;13;7;
;67;13;3;
;68;13;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-03;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;16;0;
;34;16;1;
;35;16;4;
;36;16;7;
;37;129;15;
;38;129;27;
;39;129;41;
;40;129;42;
;41;305;54;
;42;305;70;
;43;305;71;
;44;305;82;
;45;449;97;
;46;449;108;
;47;449;113;
