Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Februar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
2010-02-01;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;3;0;
;30;3;0;
;31;3;0;
;32;3;0;
;33;67;2;
;34;67;8;
;35;67;17;
;36;67;35;
;37;316;60;
;38;316;92;
;39;316;127;
;40;316;161;
;41;592;221;
;42;592;290;
;43;592;333;
;44;592;409;
;45;746;420;
;46;746;465;
;47;746;501;
;48;746;543;
;49;706;575;
;50;706;612;
;51;706;634;
;52;706;617;
;53;596;618;
;54;596;603;
;55;596;587;
;56;596;541;
;57;425;517;
;58;425;478;
;59;425;416;
;60;425;346;
;61;184;284;
;62;184;225;
;63;184;168;
;64;184;112;
;65;27;75;
;66;27;51;
;67;27;26;
;68;27;9;
;69;2;3;
;70;2;2;
;71;2;1;
;72;2;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-02;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;5;0;
;30;5;0;
;31;5;0;
;32;5;0;
;33;36;3;
;34;36;10;
;35;36;22;
;36;36;38;
;37;195;57;
;38;195;84;
;39;195;112;
;40;195;158;
;41;418;189;
;42;418;243;
;43;418;301;
;44;418;355;
;45;599;422;
;46;599;474;
;47;599;501;
;48;599;552;
;49;647;604;
;50;647;635;
;51;647;635;
;52;647;617;
;53;591;628;
;54;591;622;
;55;591;605;
;56;591;573;
;57;436;489;
;58;436;432;
;59;436;382;
;60;436;335;
;61;194;270;
;62;194;212;
;63;194;158;
;64;194;120;
;65;34;82;
;66;34;52;
;67;34;27;
;68;34;11;
;69;3;4;
;70;3;2;
;71;3;1;
;72;3;1;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-03;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;12;0;
;30;12;0;
;31;12;0;
;32;12;0;
;33;44;1;
;34;44;7;
;35;44;17;
;36;44;30;
;37;162;49;
;38;162;71;
;39;162;96;
;40;162;121;
;41;337;156;
;42;337;197;
;43;337;234;
;44;337;286;
;45;482;343;
;46;482;373;
;47;482;403;
;48;482;457;
;49;536;472;
;50;536;493;
;51;536;500;
;52;536;513;
;53;497;493;
;54;497;477;
;55;497;453;
;56;497;434;
;57;373;440;
;58;373;411;
;59;373;389;
;60;373;366;
;61;190;334;
;62;190;279;
;63;190;228;
;64;190;181;
;65;45;138;
;66;45;97;
;67;45;56;
;68;45;23;
;69;4;6;
;70;4;2;
;71;4;1;
;72;4;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-04;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;4;0;
;30;4;0;
;31;4;1;
;32;4;3;
;33;62;14;
;34;62;34;
;35;62;60;
;36;62;100;
;37;254;137;
;38;254;182;
;39;254;230;
;40;254;279;
;41;517;337;
;42;517;393;
;43;517;441;
;44;517;493;
;45;752;553;
;46;752;605;
;47;752;647;
;48;752;696;
;49;834;763;
;50;834;781;
;51;834;819;
;52;834;831;
;53;756;821;
;54;756;799;
;55;756;792;
;56;756;739;
;57;548;699;
;58;548;647;
;59;548;592;
;60;548;528;
;61;261;458;
;62;261;373;
;63;261;300;
;64;261;236;
;65;51;177;
;66;51;119;
;67;51;70;
;68;51;32;
;69;1;9;
;70;1;2;
;71;1;1;
;72;1;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
