Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 März;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
2010-03-01;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;58;12;
;30;58;66;
;31;58;139;
;32;58;252;
;33;320;399;
;34;320;512;
;35;320;716;
;36;320;889;
;37;764;1021;
;38;764;1028;
;39;764;1037;
;40;764;1077;
;41;1237;1128;
;42;1237;1206;
;43;1237;1234;
;44;1237;1326;
;45;1600;1370;
;46;1600;1527;
;47;1600;1571;
;48;1600;1560;
;49;1764;1664;
;50;1764;1584;
;51;1764;1613;
;52;1764;1744;
;53;1671;1798;
;54;1671;1673;
;55;1671;1743;
;56;1671;1718;
;57;1323;1628;
;58;1323;1567;
;59;1323;1516;
;60;1323;1342;
;61;780;1215;
;62;780;1137;
;63;780;1013;
;64;780;935;
;65;298;781;
;66;298;666;
;67;298;492;
;68;298;342;
;69;39;233;
;70;39;121;
;71;39;37;
;72;39;9;
;73;0;1;
;74;0;5;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-02;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;41;4;
;30;41;26;
;31;41;69;
;32;41;135;
;33;259;225;
;34;259;329;
;35;259;411;
;36;259;493;
;37;551;586;
;38;551;725;
;39;551;841;
;40;551;964;
;41;895;999;
;42;895;1115;
;43;895;1171;
;44;895;1190;
;45;1178;1171;
;46;1178;1216;
;47;1178;1273;
;48;1178;1256;
;49;1216;1201;
;50;1216;1072;
;51;1216;1021;
;52;1216;1061;
;53;1032;1030;
;54;1032;922;
;55;1032;773;
;56;1032;706;
;57;742;694;
;58;742;649;
;59;742;588;
;60;742;529;
;61;467;498;
;62;467;455;
;63;467;436;
;64;467;357;
;65;227;340;
;66;227;282;
;67;227;202;
;68;227;153;
;69;33;107;
;70;33;60;
;71;33;24;
;72;33;14;
;73;0;7;
;74;0;9;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-03;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;1;0;
;26;1;0;
;27;1;0;
;28;1;1;
;29;121;7;
;30;121;29;
;31;121;74;
;32;121;131;
;33;529;204;
;34;529;307;
;35;529;395;
;36;529;491;
;37;1124;605;
;38;1124;711;
;39;1124;860;
;40;1124;966;
;41;1722;1054;
;42;1722;1139;
;43;1722;1187;
;44;1722;1335;
;45;2148;1422;
;46;2148;1528;
;47;2148;1603;
;48;2148;1791;
;49;2273;1870;
;50;2273;2007;
;51;2273;1948;
;52;2273;1990;
;53;2074;1989;
;54;2074;1877;
;55;2074;1840;
;56;2074;1814;
;57;1599;1702;
;58;1599;1612;
;59;1599;1508;
;60;1599;1414;
;61;967;1290;
;62;967;1176;
;63;967;1048;
;64;967;897;
;65;403;744;
;66;403;579;
;67;403;400;
;68;403;261;
;69;57;161;
;70;57;89;
;71;57;36;
;72;57;13;
;73;0;5;
;74;0;9;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-04;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;53;9;
;30;53;46;
;31;53;112;
;32;53;214;
;33;338;359;
;34;338;470;
;35;338;608;
;36;338;769;
;37;814;871;
;38;814;1001;
;39;814;1118;
;40;814;1196;
;41;1310;1295;
;42;1310;1396;
;43;1310;1420;
;44;1310;1513;
;45;1678;1505;
;46;1678;1646;
;47;1678;1774;
;48;1678;1923;
;49;1774;1886;
;50;1774;1817;
;51;1774;1812;
;52;1774;1780;
;53;1626;1632;
;54;1626;1609;
;55;1626;1547;
;56;1626;1497;
;57;1279;1512;
;58;1279;1377;
;59;1279;1234;
;60;1279;1111;
;61;803;938;
;62;803;893;
;63;803;762;
;64;803;646;
;65;338;551;
;66;338;480;
;67;338;382;
;68;338;244;
;69;62;170;
;70;62;88;
;71;62;41;
;72;62;14;
;73;1;9;
;74;1;18;
;75;1;0;
;76;1;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-05;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;3;0;
;26;3;0;
;27;3;0;
;28;3;2;
;29;119;32;
;30;119;107;
;31;119;225;
;32;119;390;
;33;516;535;
;34;516;740;
;35;516;891;
;36;516;1044;
;37;1059;1205;
;38;1059;1284;
;39;1059;1387;
;40;1059;1450;
;41;1505;1582;
;42;1505;1615;
;43;1505;1604;
;44;1505;1459;
;45;1738;1429;
;46;1738;1491;
;47;1738;1549;
;48;1738;1649;
;49;1721;1542;
;50;1721;1617;
;51;1721;1655;
;52;1721;1763;
;53;1492;1613;
;54;1492;1669;
;55;1492;1571;
;56;1492;1539;
;57;1118;1495;
;58;1118;1498;
;59;1118;1424;
;60;1118;1391;
;61;689;1173;
;62;689;1214;
;63;689;1156;
;64;689;971;
;65;278;837;
;66;278;717;
;67;278;593;
;68;278;444;
;69;41;252;
;70;41;149;
;71;41;79;
;72;41;25;
;73;0;9;
;74;0;15;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-06;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;4;0;
;26;4;0;
;27;4;0;
;28;4;0;
;29;82;2;
;30;82;19;
;31;82;31;
;32;82;36;
;33;362;48;
;34;362;70;
;35;362;97;
;36;362;129;
;37;816;164;
;38;816;204;
;39;816;244;
;40;816;303;
;41;1324;367;
;42;1324;407;
;43;1324;453;
;44;1324;511;
;45;1755;557;
;46;1755;612;
;47;1755;706;
;48;1755;739;
;49;1903;816;
;50;1903;786;
;51;1903;806;
;52;1903;817;
;53;1801;803;
;54;1801;745;
;55;1801;704;
;56;1801;659;
;57;1465;741;
;58;1465;683;
;59;1465;666;
;60;1465;572;
;61;933;560;
;62;933;518;
;63;933;467;
;64;933;399;
;65;391;333;
;66;391;287;
;67;391;245;
;68;391;202;
;69;67;139;
;70;67;72;
;71;67;42;
;72;67;15;
;73;1;5;
;74;1;11;
;75;1;0;
;76;1;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-07;1;0;0;
;2;0;0;
