Windenergieeinspeisung;;;;
2006 Januar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-01-01;1;1864;1705;0;;
;2;1864;1739;0;;
;3;1864;1700;0;;
;4;1864;1684;0;;
;5;1813;1716;0;;
;6;1813;1758;0;;
;7;1813;1781;0;;
;8;1813;1765;0;;
;9;1726;1648;0;;
;10;1726;1588;0;;
;11;1726;1540;0;;
;12;1726;1588;0;;
;13;1627;1596;0;;
;14;1627;1692;0;;
;15;1627;1643;0;;
;16;1627;1580;0;;
;17;1570;1500;0;;
;18;1570;1447;0;;
;19;1570;1450;0;;
;20;1570;1410;0;;
;21;1509;1396;0;;
;22;1509;1433;0;;
;23;1509;1415;0;;
;24;1509;1399;0;;
;25;1448;1385;0;;
;26;1448;1326;0;;
;27;1448;1252;0;;
;28;1448;1225;0;;
;29;1390;1244;0;;
;30;1390;1238;0;;
;31;1390;1225;0;;
;32;1390;1234;0;;
;33;1331;1196;0;;
;34;1331;1164;0;;
;35;1331;1137;0;;
;36;1331;1126;0;;
;37;1287;1102;0;;
;38;1287;1132;0;;
;39;1287;1129;0;;
;40;1287;1067;0;;
;41;1195;1055;0;;
;42;1195;990;0;;
;43;1195;915;0;;
;44;1195;885;0;;
;45;1130;847;0;;
;46;1130;837;0;;
;47;1130;795;0;;
;48;1130;708;0;;
;49;1045;664;0;;
;50;1045;645;0;;
;51;1045;609;0;;
;52;1045;543;0;;
;53;997;531;0;;
;54;997;528;0;;
;55;997;544;0;;
;56;997;492;0;;
;57;924;414;0;;
;58;924;370;0;;
;59;924;373;0;;
;60;924;356;0;;
;61;838;334;0;;
;62;838;311;0;;
;63;838;287;0;;
;64;838;273;0;;
;65;752;256;0;;
;66;752;261;0;;
;67;752;272;0;;
;68;752;281;0;;
;69;689;268;0;;
;70;689;262;0;;
;71;689;259;0;;
;72;689;254;0;;
;73;642;260;0;;
;74;642;262;0;;
;75;642;261;0;;
;76;642;256;0;;
;77;586;249;0;;
;78;586;252;0;;
;79;586;243;0;;
;80;586;222;0;;
;81;510;221;0;;
;82;510;199;0;;
;83;510;186;0;;
;84;510;187;0;;
;85;497;190;0;;
;86;497;178;0;;
;87;497;168;0;;
;88;497;163;0;;
;89;459;181;0;;
;90;459;173;0;;
;91;459;174;0;;
;92;459;173;0;;
;93;414;158;0;;
;94;414;171;0;;
;95;414;175;0;;
;96;414;171;0;;
2006-01-02;1;354;164;0;;
;2;354;164;0;;
;3;354;150;0;;
;4;354;150;0;;
;5;360;164;0;;
;6;360;172;0;;
;7;360;175;0;;
;8;360;194;0;;
;9;417;202;0;;
;10;417;208;0;;
;11;417;179;0;;
;12;417;160;0;;
;13;415;166;0;;
;14;415;188;0;;
;15;415;186;0;;
;16;415;187;0;;
;17;452;191;0;;
;18;452;223;0;;
;19;452;226;0;;
;20;452;255;0;;
;21;470;249;0;;
;22;470;239;0;;
;23;470;237;0;;
;24;470;219;0;;
;25;462;216;0;;
;26;462;246;0;;
;27;462;235;0;;
;28;462;241;0;;
;29;477;215;0;;
;30;477;225;0;;
;31;477;253;0;;
;32;477;236;0;;
;33;486;227;0;;
;34;486;211;0;;
;35;486;214;0;;
;36;486;232;0;;
;37;488;234;0;;
;38;488;260;0;;
;39;488;269;0;;
;40;488;261;0;;
;41;479;256;0;;
;42;479;254;0;;
;43;479;253;0;;
;44;479;229;0;;
;45;480;226;0;;
;46;480;230;0;;
;47;480;215;0;;
;48;480;203;0;;
;49;440;206;0;;
;50;440;202;0;;
;51;440;187;0;;
;52;440;200;0;;
;53;446;217;0;;
;54;446;234;0;;
;55;446;252;0;;
;56;446;248;0;;
;57;462;239;0;;
;58;462;212;0;;
;59;462;181;0;;
;60;462;171;0;;
;61;492;169;0;;
;62;492;151;0;;
;63;492;150;0;;
;64;492;162;0;;
;65;477;162;0;;
;66;477;157;0;;
;67;477;149;0;;
;68;477;140;0;;
;69;443;140;0;;
;70;443;126;0;;
;71;443;134;0;;
;72;443;133;0;;
;73;412;121;0;;
;74;412;124;0;;
;75;412;118;0;;
;76;412;116;0;;
;77;364;120;0;;
;78;364;120;0;;
;79;364;112;0;;
;80;364;95;0;;
;81;345;91;0;;
;82;345;114;0;;
;83;345;105;0;;
;84;345;101;0;;
;85;306;98;0;;
;86;306;95;0;;
;87;306;91;0;;
;88;306;85;0;;
;89;302;109;0;;
;90;302;125;0;;
;91;302;132;0;;
;92;302;134;0;;
;93;266;139;0;;
;94;266;146;0;;
;95;266;160;0;;
;96;266;156;0;;
2006-01-03;1;218;140;0;;
;2;218;141;0;;
;3;218;133;0;;
;4;218;126;0;;
;5;250;119;0;;
;6;250;113;0;;
;7;250;111;0;;
;8;250;118;0;;
;9;243;109;0;;
;10;243;96;0;;
;11;243;91;0;;
