Windenergieeinspeisung;;;;
2006 Februar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-02-01;1;839;418;0;;
;2;839;392;0;;
;3;839;390;0;;
;4;839;379;0;;
;5;825;359;0;;
;6;825;362;0;;
;7;825;362;0;;
;8;825;349;0;;
;9;821;344;0;;
;10;821;356;0;;
;11;821;338;0;;
;12;821;320;0;;
;13;830;296;0;;
;14;830;270;0;;
;15;830;273;0;;
;16;830;266;0;;
;17;837;271;0;;
;18;837;259;0;;
;19;837;247;0;;
;20;837;219;0;;
;21;804;213;0;;
;22;804;188;0;;
;23;804;195;0;;
;24;804;207;0;;
;25;770;203;0;;
;26;770;205;0;;
;27;770;199;0;;
;28;770;189;0;;
;29;747;196;0;;
;30;747;197;0;;
;31;747;184;0;;
;32;747;182;0;;
;33;721;174;0;;
;34;721;168;0;;
;35;721;168;0;;
;36;721;176;0;;
;37;715;163;0;;
;38;715;164;0;;
;39;715;156;0;;
;40;715;144;0;;
;41;720;130;0;;
;42;720;124;0;;
;43;720;127;0;;
;44;720;138;0;;
;45;744;134;0;;
;46;744;140;0;;
;47;744;142;0;;
;48;744;148;0;;
;49;771;160;0;;
;50;771;168;0;;
;51;771;168;0;;
;52;771;184;0;;
;53;819;189;0;;
;54;819;194;0;;
;55;819;184;0;;
;56;819;190;0;;
;57;824;183;0;;
;58;824;188;0;;
;59;824;198;0;;
;60;824;174;0;;
;61;818;166;0;;
;62;818;178;0;;
;63;818;177;0;;
;64;818;172;0;;
;65;746;173;0;;
;66;746;166;0;;
;67;746;160;0;;
;68;746;141;0;;
;69;689;148;0;;
;70;689;135;0;;
;71;689;138;0;;
;72;689;137;0;;
;73;622;130;0;;
;74;622;133;0;;
;75;622;124;0;;
;76;622;118;0;;
;77;587;107;0;;
;78;587;112;0;;
;79;587;109;0;;
;80;587;108;0;;
;81;566;124;0;;
;82;566;121;0;;
;83;566;131;0;;
;84;566;119;0;;
;85;569;112;0;;
;86;569;127;0;;
;87;569;132;0;;
;88;569;140;0;;
;89;576;146;0;;
;90;576;144;0;;
;91;576;147;0;;
;92;576;154;0;;
;93;559;142;0;;
;94;559;163;0;;
;95;559;161;0;;
;96;559;173;0;;
2006-02-02;1;701;177;0;;
;2;701;175;0;;
;3;701;177;0;;
;4;701;190;0;;
;5;739;193;0;;
;6;739;186;0;;
;7;739;199;0;;
;8;739;213;0;;
;9;769;190;0;;
;10;769;201;0;;
;11;769;214;0;;
;12;769;233;0;;
;13;792;211;0;;
;14;792;214;0;;
;15;792;214;0;;
;16;792;197;0;;
;17;799;194;0;;
;18;799;221;0;;
;19;799;204;0;;
;20;799;225;0;;
;21;797;235;0;;
;22;797;250;0;;
;23;797;234;0;;
;24;797;252;0;;
;25;780;247;0;;
;26;780;241;0;;
;27;780;263;0;;
;28;780;266;0;;
;29;786;283;0;;
;30;786;270;0;;
;31;786;288;0;;
;32;786;264;0;;
;33;794;220;0;;
;34;794;239;0;;
;35;794;222;0;;
;36;794;223;0;;
;37;833;227;0;;
;38;833;220;0;;
;39;833;215;0;;
;40;833;205;0;;
;41;874;216;0;;
;42;874;228;0;;
;43;874;229;0;;
;44;874;223;0;;
;45;962;234;0;;
;46;962;239;0;;
;47;962;235;0;;
;48;962;239;0;;
;49;1070;263;0;;
;50;1070;276;0;;
;51;1070;279;0;;
;52;1070;268;0;;
;53;1198;265;0;;
;54;1198;264;0;;
;55;1198;278;0;;
;56;1198;287;0;;
;57;1240;307;0;;
;58;1240;304;0;;
;59;1240;323;0;;
;60;1240;327;0;;
;61;1264;299;0;;
;62;1264;292;0;;
;63;1264;302;0;;
;64;1264;289;0;;
;65;1256;288;0;;
;66;1256;279;0;;
;67;1256;292;0;;
;68;1256;313;0;;
;69;1250;306;0;;
;70;1250;324;0;;
;71;1250;307;0;;
;72;1250;335;0;;
;73;1229;331;0;;
;74;1229;361;0;;
;75;1229;365;0;;
;76;1229;361;0;;
;77;1219;375;0;;
;78;1219;366;0;;
;79;1219;376;0;;
;80;1219;368;0;;
;81;1210;358;0;;
;82;1210;354;0;;
;83;1210;364;0;;
;84;1210;401;0;;
;85;1233;414;0;;
;86;1233;404;0;;
;87;1233;408;0;;
;88;1233;436;0;;
;89;1246;405;0;;
;90;1246;414;0;;
;91;1246;424;0;;
;92;1246;428;0;;
;93;1252;467;0;;
;94;1252;469;0;;
;95;1252;484;0;;
;96;1252;492;0;;
2006-02-03;1;846;486;0;;
;2;846;494;0;;
;3;846;495;0;;
;4;846;488;0;;
;5;841;492;0;;
;6;841;515;0;;
;7;841;540;0;;
;8;841;551;0;;
;9;856;553;0;;
;10;856;554;0;;
;11;856;567;0;;
;12;856;582;0;;
;13;840;596;0;;
;14;840;631;0;;
;15;840;631;0;;
;16;840;655;0;;
;17;846;706;0;;
;18;846;719;0;;
;19;846;711;0;;
;20;846;709;0;;
;21;802;690;0;;
;22;802;654;0;;
;23;802;649;0;;
;24;802;642;0;;
;25;782;650;0;;
;26;782;619;0;;
;27;782;614;0;;
;28;782;650;0;;
;29;750;629;0;;
;30;750;617;0;;
;31;750;607;0;;
;32;750;614;0;;
;33;731;605;0;;
;34;731;590;0;;
;35;731;597;0;;
;36;731;611;0;;
;37;711;604;0;;
;38;711;614;0;;
;39;711;607;0;;
;40;711;607;0;;
;41;709;591;0;;
;42;709;594;0;;
;43;709;574;0;;
;44;709;529;0;;
;45;701;498;0;;
;46;701;465;0;;
;47;701;434;0;;
;48;701;401;0;;
;49;728;375;0;;
;50;728;375;0;;
;51;728;353;0;;
;52;728;317;0;;
;53;724;291;0;;
;54;724;263;0;;
;55;724;246;0;;
;56;724;259;0;;
;57;695;232;0;;
;58;695;202;0;;
;59;695;184;0;;
;60;695;189;0;;
;61;647;172;0;;
;62;647;161;0;;
;63;647;158;0;;
;64;647;141;0;;
;65;616;125;0;;
;66;616;113;0;;
;67;616;88;0;;
;68;616;72;0;;
;69;526;63;0;;
;70;526;59;0;;
;71;526;66;0;;
;72;526;66;0;;
;73;504;57;0;;
;74;504;53;0;;
;75;504;44;0;;
;76;504;34;0;;
;77;469;33;0;;
;78;469;32;0;;
;79;469;33;0;;
;80;469;29;0;;
;81;464;30;0;;
;82;464;27;0;;
;83;464;25;0;;
;84;464;26;0;;
;85;460;25;0;;
;86;460;26;0;;
;87;460;26;0;;
;88;460;25;0;;
;89;455;25;0;;
;90;455;28;0;;
;91;455;32;0;;
;92;455;31;0;;
;93;454;31;0;;
;94;454;31;0;;
;95;454;32;0;;
;96;454;33;0;;
2006-02-04;1;255;31;0;;
;2;255;30;0;;
;3;255;28;0;;
;4;255;28;0;;
;5;282;28;0;;
;6;282;32;0;;
;7;282;38;0;;
;8;282;47;0;;
;9;285;55;0;;
;10;285;70;0;;
;11;285;69;0;;
;12;285;77;0;;
;13;341;91;0;;
;14;341;104;0;;
;15;341;117;0;;
;16;341;107;0;;
;17;391;114;0;;
;18;391;138;0;;
;19;391;172;0;;
;20;391;199;0;;
;21;354;216;0;;
;22;354;235;0;;
;23;354;243;0;;
;24;354;266;0;;
;25;402;287;0;;
;26;402;311;0;;
;27;402;356;0;;
;28;402;395;0;;
;29;401;404;0;;
;30;401;440;0;;
;31;401;465;0;;
;32;401;488;0;;
;33;436;536;0;;
;34;436;557;0;;
