Windenergieeinspeisung;;;;
2006 März;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-03-01;1;1041;724;0;;
;2;1041;774;0;;
;3;1041;820;0;;
;4;1041;861;0;;
;5;1095;905;0;;
;6;1095;878;0;;
;7;1095;888;0;;
;8;1095;913;0;;
;9;1104;889;0;;
;10;1104;896;0;;
;11;1104;849;0;;
;12;1104;903;0;;
;13;1126;947;0;;
;14;1126;903;0;;
;15;1126;951;0;;
;16;1126;943;0;;
;17;1220;954;0;;
;18;1220;971;0;;
;19;1220;1147;0;;
;20;1220;1189;0;;
;21;1326;1082;0;;
;22;1326;1104;0;;
;23;1326;1161;0;;
;24;1326;1238;0;;
;25;1471;1255;0;;
;26;1471;1284;0;;
;27;1471;1260;0;;
;28;1471;1118;0;;
;29;1606;1084;0;;
;30;1606;1100;0;;
;31;1606;1133;0;;
;32;1606;1175;0;;
;33;1802;1182;0;;
;34;1802;1268;0;;
;35;1802;1293;0;;
;36;1802;1295;0;;
;37;2143;1316;0;;
;38;2143;1324;0;;
;39;2143;1391;0;;
;40;2143;1568;0;;
;41;2542;1606;0;;
;42;2542;1695;0;;
;43;2542;1763;0;;
;44;2542;1737;0;;
;45;3070;1826;0;;
;46;3070;1945;0;;
;47;3070;2107;0;;
;48;3070;2083;0;;
;49;3458;2203;0;;
;50;3458;2140;0;;
;51;3458;2193;0;;
;52;3458;2234;0;;
;53;3833;2281;0;;
;54;3833;2307;0;;
;55;3833;2433;0;;
;56;3833;2447;0;;
;57;3975;2517;0;;
;58;3975;2494;0;;
;59;3975;2587;0;;
;60;3975;2608;0;;
;61;3990;2549;0;;
;62;3990;2465;0;;
;63;3990;2617;0;;
;64;3990;2596;0;;
;65;3904;2605;0;;
;66;3904;2541;0;;
;67;3904;2542;0;;
;68;3904;2534;0;;
;69;3728;2365;0;;
;70;3728;2282;0;;
;71;3728;2328;0;;
;72;3728;2236;0;;
;73;3418;2505;0;;
;74;3418;2583;0;;
;75;3418;2626;0;;
;76;3418;2481;0;;
;77;3181;2464;0;;
;78;3181;2788;0;;
;79;3181;2891;0;;
;80;3181;2930;0;;
;81;2967;2894;0;;
;82;2967;2910;0;;
;83;2967;2989;0;;
;84;2967;3254;0;;
;85;2980;3319;0;;
;86;2980;3262;0;;
;87;2980;3371;0;;
;88;2980;3496;0;;
;89;2928;3599;0;;
;90;2928;3625;0;;
;91;2928;3675;0;;
;92;2928;3720;0;;
;93;2935;3677;0;;
;94;2935;3691;0;;
;95;2935;3672;0;;
;96;2935;3631;0;;
2006-03-02;1;3224;3686;0;;
;2;3224;3845;0;;
;3;3224;3959;0;;
;4;3224;3943;0;;
;5;3227;3904;0;;
;6;3227;3889;0;;
;7;3227;3810;0;;
;8;3227;3826;0;;
;9;3199;3865;0;;
;10;3199;3783;0;;
;11;3199;3711;0;;
;12;3199;3532;0;;
;13;3132;3521;0;;
;14;3132;3507;0;;
;15;3132;3560;0;;
;16;3132;3484;0;;
;17;3164;3505;0;;
;18;3164;3482;0;;
;19;3164;3517;0;;
;20;3164;3374;0;;
;21;3112;3296;0;;
;22;3112;3250;0;;
;23;3112;3043;0;;
;24;3112;2865;0;;
;25;3128;2856;0;;
;26;3128;2842;0;;
;27;3128;2743;0;;
;28;3128;2675;0;;
;29;3086;2741;0;;
;30;3086;2788;0;;
;31;3086;2686;0;;
;32;3086;2712;0;;
;33;3137;2723;0;;
;34;3137;2742;0;;
;35;3137;2850;0;;
;36;3137;2884;0;;
;37;3309;2946;0;;
;38;3309;2929;0;;
;39;3309;2911;0;;
;40;3309;3010;0;;
;41;3460;3038;0;;
;42;3460;2950;0;;
;43;3460;2999;0;;
;44;3460;3038;0;;
;45;3704;3101;0;;
;46;3704;3247;0;;
;47;3704;3449;0;;
;48;3704;3432;0;;
;49;3835;3354;0;;
;50;3835;3483;0;;
;51;3835;3596;0;;
;52;3835;3728;0;;
;53;3998;3694;0;;
;54;3998;3655;0;;
;55;3998;3719;0;;
;56;3998;3730;0;;
;57;3987;3901;0;;
;58;3987;3974;0;;
;59;3987;3962;0;;
;60;3987;3997;0;;
;61;3816;3946;0;;
;62;3816;3998;0;;
;63;3816;3840;0;;
;64;3816;3734;0;;
;65;3529;3628;0;;
;66;3529;3745;0;;
;67;3529;3586;0;;
;68;3529;3432;0;;
;69;3075;3525;0;;
;70;3075;3403;0;;
;71;3075;3290;0;;
;72;3075;3108;0;;
;73;2632;2871;0;;
;74;2632;2801;0;;
;75;2632;2688;0;;
;76;2632;2573;0;;
;77;2341;2537;0;;
;78;2341;2693;0;;
;79;2341;2754;0;;
;80;2341;2677;0;;
;81;2169;2587;0;;
;82;2169;2532;0;;
;83;2169;2534;0;;
;84;2169;2609;0;;
;85;2142;2844;0;;
;86;2142;2720;0;;
;87;2142;2680;0;;
;88;2142;2692;0;;
;89;2078;2615;0;;
;90;2078;2617;0;;
;91;2078;2592;0;;
;92;2078;2645;0;;
;93;1982;2577;0;;
;94;1982;2529;0;;
;95;1982;2590;0;;
;96;1982;2610;0;;
2006-03-03;1;2137;2610;0;;
;2;2137;2492;0;;
;3;2137;2500;0;;
;4;2137;2404;0;;
;5;2030;2357;0;;
;6;2030;2310;0;;
;7;2030;2296;0;;
;8;2030;2254;0;;
;9;1943;2227;0;;
;10;1943;2088;0;;
;11;1943;2027;0;;
;12;1943;2083;0;;
;13;1831;1950;0;;
;14;1831;1910;0;;
;15;1831;1928;0;;
;16;1831;1871;0;;
;17;1730;1774;0;;
;18;1730;1699;0;;
;19;1730;1591;0;;
;20;1730;1538;0;;
;21;1538;1512;0;;
;22;1538;1491;0;;
;23;1538;1409;0;;
;24;1538;1404;0;;
;25;1398;1345;0;;
;26;1398;1293;0;;
;27;1398;1210;0;;
;28;1398;1201;0;;
;29;1235;1131;0;;
;30;1235;1139;0;;
;31;1235;1160;0;;
;32;1235;1136;0;;
;33;1150;1059;0;;
;34;1150;970;0;;
;35;1150;898;0;;
;36;1150;857;0;;
;37;1095;813;0;;
;38;1095;773;0;;
;39;1095;804;0;;
;40;1095;841;0;;
;41;1112;817;0;;
;42;1112;829;0;;
;43;1112;847;0;;
;44;1112;860;0;;
;45;1116;806;0;;
;46;1116;784;0;;
;47;1116;775;0;;
;48;1116;706;0;;
;49;1078;683;0;;
;50;1078;638;0;;
;51;1078;627;0;;
;52;1078;634;0;;
;53;1021;693;0;;
;54;1021;692;0;;
;55;1021;627;0;;
;56;1021;593;0;;
;57;1000;582;0;;
;58;1000;622;0;;
;59;1000;615;0;;
;60;1000;559;0;;
;61;1017;499;0;;
;62;1017;532;0;;
;63;1017;518;0;;
;64;1017;478;0;;
;65;973;434;0;;
;66;973;437;0;;
;67;973;414;0;;
;68;973;388;0;;
;69;1009;417;0;;
;70;1009;398;0;;
;71;1009;362;0;;
;72;1009;357;0;;
;73;822;349;0;;
;74;822;351;0;;
;75;822;330;0;;
;76;822;294;0;;
;77;807;313;0;;
;78;807;300;0;;
;79;807;307;0;;
;80;807;318;0;;
;81;794;325;0;;
;82;794;289;0;;
;83;794;306;0;;
;84;794;331;0;;
;85;850;344;0;;
;86;850;396;0;;
;87;850;438;0;;
;88;850;419;0;;
;89;867;443;0;;
;90;867;478;0;;
;91;867;513;0;;
;92;867;481;0;;
;93;879;513;0;;
;94;879;550;0;;
;95;879;525;0;;
;96;879;519;0;;
2006-03-04;1;366;569;0;;
;2;366;512;0;;
;3;366;482;0;;
;4;366;464;0;;
;5;402;453;0;;
;6;402;485;0;;
;7;402;498;0;;
;8;402;525;0;;
;9;431;553;0;;
;10;431;564;0;;
;11;431;608;0;;
;12;431;685;0;;
;13;479;765;0;;
;14;479;837;0;;
;15;479;834;0;;
;16;479;844;0;;
;17;548;845;0;;
;18;548;893;0;;
;19;548;872;0;;
;20;548;867;0;;
;21;617;901;0;;
;22;617;917;0;;
;23;617;960;0;;
;24;617;1018;0;;
;25;714;1056;0;;
;26;714;1149;0;;
;27;714;1232;0;;
;28;714;1300;0;;
;29;789;1328;0;;
;30;789;1375;0;;
;31;789;1402;0;;
;32;789;1413;0;;
;33;877;1476;0;;
;34;877;1476;0;;
;35;877;1435;0;;
;36;877;1414;0;;
;37;1048;1378;0;;
;38;1048;1404;0;;
;39;1048;1489;0;;
;40;1048;1468;0;;
;41;1249;1488;0;;
;42;1249;1480;0;;
;43;1249;1552;0;;
;44;1249;1601;0;;
;45;1519;1701;0;;
;46;1519;1836;0;;
;47;1519;1887;0;;
;48;1519;2038;0;;
;49;1824;2248;0;;
;50;1824;2285;0;;
;51;1824;2522;0;;
;52;1824;2616;0;;
;53;2022;2647;0;;
;54;2022;2673;0;;
;55;2022;2675;0;;
;56;2022;2612;0;;
;57;2231;2716;0;;
;58;2231;2680;0;;
;59;2231;2605;0;;
;60;2231;2425;0;;
;61;2186;2379;0;;
;62;2186;2314;0;;
;63;2186;2216;0;;
;64;2186;2132;0;;
;65;2044;2044;0;;
;66;2044;1988;0;;
;67;2044;1914;0;;
;68;2044;1872;0;;
;69;1754;1885;0;;
;70;1754;1673;0;;
;71;1754;1522;0;;
;72;1754;1412;0;;
;73;1444;1385;0;;
;74;1444;1209;0;;
;75;1444;1318;0;;
;76;1444;1325;0;;
;77;1253;1353;0;;
;78;1253;1446;0;;
;79;1253;1504;0;;
;80;1253;1531;0;;
;81;1221;1670;0;;
;82;1221;1771;0;;
;83;1221;1826;0;;
;84;1221;1854;0;;
;85;1213;1942;0;;
;86;1213;1828;0;;
;87;1213;1697;0;;
;88;1213;1722;0;;
;89;1241;1780;0;;
;90;1241;1790;0;;
;91;1241;1805;0;;
;92;1241;1741;0;;
;93;1231;1695;0;;
;94;1231;1794;0;;
;95;1231;1824;0;;
;96;1231;1684;0;;
2006-03-05;1;894;1587;0;;
;2;894;1607;0;;
;3;894;1529;0;;
;4;894;1484;0;;
;5;876;1461;0;;
;6;876;1364;0;;
;7;876;1357;0;;
;8;876;1300;0;;
;9;825;1193;0;;
;10;825;1133;0;;
;11;825;1052;0;;
;12;825;1095;0;;
;13;809;1099;0;;
;14;809;1049;0;;
;15;809;1064;0;;
;16;809;1088;0;;
;17;746;1162;0;;
;18;746;1210;0;;
;19;746;1222;0;;
;20;746;1146;0;;
;21;711;1182;0;;
;22;711;1283;0;;
;23;711;1321;0;;
;24;711;1392;0;;
;25;733;1456;0;;
;26;733;1613;0;;
;27;733;1615;0;;
;28;733;1604;0;;
;29;822;1666;0;;
;30;822;1773;0;;
;31;822;1792;0;;
;32;822;1842;0;;
;33;909;1819;0;;
;34;909;1953;0;;
;35;909;2070;0;;
;36;909;2081;0;;
;37;1027;2122;0;;
;38;1027;2145;0;;
;39;1027;2254;0;;
;40;1027;2408;0;;
;41;1163;2490;0;;
;42;1163;2531;0;;
;43;1163;2440;0;;
;44;1163;2392;0;;
;45;1437;2417;0;;
;46;1437;2541;0;;
;47;1437;2698;0;;
;48;1437;2658;0;;
;49;1676;2647;0;;
;50;1676;2550;0;;
;51;1676;2579;0;;
;52;1676;2562;0;;
;53;1847;2471;0;;
;54;1847;2441;0;;
;55;1847;2544;0;;
;56;1847;2546;0;;
;57;1775;2558;0;;
;58;1775;2606;0;;
;59;1775;2575;0;;
;60;1775;2686;0;;
;61;1694;2560;0;;
