Windenergieeinspeisung;;;;
2006 April;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-04-01;1;1442;1541;0;;
;2;1442;1588;0;;
;3;1442;1570;0;;
;4;1442;1572;0;;
;5;1394;1574;0;;
;6;1394;1610;0;;
;7;1394;1691;0;;
;8;1394;1686;0;;
;9;1403;1754;0;;
;10;1403;1696;0;;
;11;1403;1735;0;;
;12;1403;1763;0;;
;13;1414;1778;0;;
;14;1414;1718;0;;
;15;1414;1665;0;;
;16;1414;1710;0;;
;17;1446;1674;0;;
;18;1446;1661;0;;
;19;1446;1679;0;;
;20;1446;1590;0;;
;21;1498;1588;0;;
;22;1498;1583;0;;
;23;1498;1577;0;;
;24;1498;1561;0;;
;25;1463;1597;0;;
;26;1463;1576;0;;
;27;1463;1565;0;;
;28;1463;1562;0;;
;29;1533;1549;0;;
;30;1533;1555;0;;
;31;1533;1559;0;;
;32;1533;1556;0;;
;33;1585;1539;0;;
;34;1585;1592;0;;
;35;1585;1626;0;;
;36;1585;1630;0;;
;37;1776;1626;0;;
;38;1776;1643;0;;
;39;1776;1595;0;;
;40;1776;1650;0;;
;41;2070;1755;0;;
;42;2070;1808;0;;
;43;2070;1915;0;;
;44;2070;1992;0;;
;45;2481;2112;0;;
;46;2481;2207;0;;
;47;2481;2198;0;;
;48;2481;2325;0;;
;49;2732;2380;0;;
;50;2732;2489;0;;
;51;2732;2563;0;;
;52;2732;2469;0;;
;53;2938;2587;0;;
;54;2938;2631;0;;
;55;2938;2694;0;;
;56;2938;2669;0;;
;57;3174;2894;0;;
;58;3174;2921;0;;
;59;3174;3009;0;;
;60;3174;3004;0;;
;61;3255;2918;0;;
;62;3255;2897;0;;
;63;3255;3007;0;;
;64;3255;3022;0;;
;65;3134;3000;0;;
;66;3134;2934;0;;
;67;3134;2980;0;;
;68;3134;2961;0;;
;69;2889;2903;0;;
;70;2889;2936;0;;
;71;2889;2900;0;;
;72;2889;2888;0;;
;73;2600;2882;0;;
;74;2600;2750;0;;
;75;2600;2692;0;;
;76;2600;2675;0;;
;77;2258;2612;0;;
;78;2258;2477;0;;
;79;2258;2494;0;;
;80;2258;2503;0;;
;81;1997;2594;0;;
;82;1997;2537;0;;
;83;1997;2489;0;;
;84;1997;2447;0;;
;85;1781;2243;0;;
;86;1781;2192;0;;
;87;1781;2314;0;;
;88;1781;2240;0;;
;89;1665;2182;0;;
;90;1665;2053;0;;
;91;1665;1968;0;;
;92;1665;1993;0;;
;93;1556;1950;0;;
;94;1556;1853;0;;
;95;1556;1787;0;;
;96;1556;1779;0;;
2006-04-02;1;1495;1732;0;;
;2;1495;1737;0;;
;3;1495;1805;0;;
;4;1495;1819;0;;
;5;1471;1766;0;;
;6;1471;1706;0;;
;7;1471;1733;0;;
;8;1471;1780;0;;
;9;1457;1824;0;;
;10;1457;1922;0;;
;11;1457;2007;0;;
;12;1457;2072;0;;
;13;1448;2090;0;;
;14;1448;2162;0;;
;15;1448;2234;0;;
;16;1448;2268;0;;
;17;1412;2307;0;;
;18;1412;2300;0;;
;19;1412;2316;0;;
;20;1412;2403;0;;
;21;1481;2393;0;;
;22;1481;2338;0;;
;23;1481;2327;0;;
;24;1481;2316;0;;
;25;1556;2280;0;;
;26;1556;2288;0;;
;27;1556;2245;0;;
;28;1556;2242;0;;
;29;1694;2266;0;;
;30;1694;2190;0;;
;31;1694;2135;0;;
;32;1694;2073;0;;
;33;1743;2025;0;;
;34;1743;1847;0;;
;35;1743;1739;0;;
;36;1743;1703;0;;
;37;1905;1649;0;;
;38;1905;1484;0;;
;39;1905;1389;0;;
;40;1905;1297;0;;
;41;2149;1249;0;;
;42;2149;1300;0;;
;43;2149;1281;0;;
;44;2149;1247;0;;
;45;2521;1342;0;;
;46;2521;1415;0;;
;47;2521;1472;0;;
;48;2521;1598;0;;
;49;2835;1807;0;;
;50;2835;1849;0;;
;51;2835;1996;0;;
;52;2835;2090;0;;
;53;3012;2069;0;;
;54;3012;2075;0;;
;55;3012;2167;0;;
;56;3012;2251;0;;
;57;2924;2299;0;;
;58;2924;2245;0;;
;59;2924;2261;0;;
;60;2924;2255;0;;
;61;3014;2200;0;;
;62;3014;2146;0;;
;63;3014;2378;0;;
;64;3014;2409;0;;
;65;2830;2438;0;;
;66;2830;2532;0;;
;67;2830;2592;0;;
;68;2830;2571;0;;
;69;2467;2614;0;;
;70;2467;2827;0;;
;71;2467;2838;0;;
;72;2467;2824;0;;
;73;2170;2813;0;;
;74;2170;2862;0;;
;75;2170;2822;0;;
;76;2170;2786;0;;
;77;1776;2602;0;;
;78;1776;2494;0;;
;79;1776;2451;0;;
;80;1776;2308;0;;
;81;1519;1966;0;;
;82;1519;1657;0;;
;83;1519;1494;0;;
;84;1519;1309;0;;
;85;1302;1222;0;;
;86;1302;1107;0;;
;87;1302;1070;0;;
;88;1302;1142;0;;
;89;1122;1155;0;;
;90;1122;1076;0;;
;91;1122;1129;0;;
;92;1122;1176;0;;
;93;1130;1305;0;;
;94;1130;1363;0;;
;95;1130;1452;0;;
;96;1130;1574;0;;
2006-04-03;1;1185;1686;0;;
;2;1185;1704;0;;
;3;1185;1924;0;;
;4;1185;1888;0;;
;5;1386;1911;0;;
;6;1386;2101;0;;
;7;1386;2219;0;;
;8;1386;2299;0;;
;9;1576;2329;0;;
;10;1576;2355;0;;
;11;1576;2345;0;;
;12;1576;2444;0;;
;13;1825;2415;0;;
;14;1825;2392;0;;
;15;1825;2452;0;;
;16;1825;2532;0;;
;17;1962;2519;0;;
;18;1962;2374;0;;
;19;1962;2191;0;;
;20;1962;2194;0;;
;21;2160;2179;0;;
;22;2160;2128;0;;
;23;2160;2152;0;;
;24;2160;2118;0;;
;25;2278;2065;0;;
;26;2278;1972;0;;
;27;2278;1995;0;;
;28;2278;1930;0;;
;29;2440;1898;0;;
;30;2440;1945;0;;
;31;2440;1974;0;;
;32;2440;1870;0;;
;33;2698;1731;0;;
;34;2698;1736;0;;
;35;2698;1760;0;;
;36;2698;1910;0;;
;37;2896;1947;0;;
;38;2896;2090;0;;
;39;2896;2241;0;;
;40;2896;2422;0;;
;41;3228;2657;0;;
;42;3228;2873;0;;
;43;3228;2973;0;;
;44;3228;3138;0;;
;45;3562;3230;0;;
;46;3562;3339;0;;
;47;3562;3415;0;;
;48;3562;3334;0;;
;49;3697;3425;0;;
;50;3697;3596;0;;
;51;3697;3682;0;;
;52;3697;3788;0;;
;53;3856;3862;0;;
;54;3856;3883;0;;
;55;3856;3968;0;;
;56;3856;3987;0;;
;57;3897;4095;0;;
;58;3897;4149;0;;
;59;3897;4292;0;;
;60;3897;4382;0;;
;61;3807;4381;0;;
;62;3807;4244;0;;
;63;3807;4295;0;;
;64;3807;4263;0;;
;65;3692;4149;0;;
;66;3692;4019;0;;
;67;3692;3937;0;;
;68;3692;3745;0;;
;69;3417;3591;0;;
;70;3417;3445;0;;
;71;3417;3269;0;;
;72;3417;3058;0;;
;73;3084;2843;0;;
;74;3084;2696;0;;
;75;3084;2457;0;;
;76;3084;2339;0;;
;77;2624;2200;0;;
;78;2624;1962;0;;
;79;2624;1752;0;;
;80;2624;1541;0;;
;81;2090;1324;0;;
;82;2090;1121;0;;
;83;2090;944;0;;
;84;2090;861;0;;
;85;1670;844;0;;
;86;1670;779;0;;
;87;1670;709;0;;
;88;1670;665;0;;
;89;1366;627;0;;
;90;1366;608;0;;
;91;1366;582;0;;
;92;1366;584;0;;
;93;1241;560;0;;
;94;1241;546;0;;
;95;1241;557;0;;
;96;1241;596;0;;
2006-04-04;1;963;675;0;;
;2;963;650;0;;
;3;963;660;0;;
;4;963;686;0;;
;5;958;713;0;;
;6;958;770;0;;
;7;958;794;0;;
;8;958;819;0;;
;9;1023;903;0;;
;10;1023;841;0;;
;11;1023;883;0;;
;12;1023;995;0;;
;13;1070;961;0;;
;14;1070;997;0;;
;15;1070;1124;0;;
;16;1070;1159;0;;
;17;1139;1230;0;;
;18;1139;1245;0;;
;19;1139;1147;0;;
;20;1139;1115;0;;
;21;1200;1162;0;;
;22;1200;1242;0;;
;23;1200;1261;0;;
;24;1200;1323;0;;
;25;1307;1445;0;;
;26;1307;1377;0;;
;27;1307;1336;0;;
;28;1307;1311;0;;
;29;1442;1339;0;;
;30;1442;1366;0;;
;31;1442;1459;0;;
;32;1442;1440;0;;
;33;1652;1401;0;;
;34;1652;1429;0;;
;35;1652;1502;0;;
;36;1652;1487;0;;
;37;2020;1538;0;;
;38;2020;1614;0;;
;39;2020;1699;0;;
;40;2020;1713;0;;
;41;2444;1809;0;;
;42;2444;1901;0;;
;43;2444;2049;0;;
;44;2444;2156;0;;
;45;2769;2187;0;;
;46;2769;2418;0;;
;47;2769;2498;0;;
;48;2769;2466;0;;
;49;3019;2424;0;;
;50;3019;2422;0;;
;51;3019;2589;0;;
;52;3019;2733;0;;
;53;3233;2830;0;;
;54;3233;2945;0;;
;55;3233;2995;0;;
;56;3233;3157;0;;
;57;3471;3272;0;;
;58;3471;3358;0;;
;59;3471;3460;0;;
;60;3471;3487;0;;
;61;3541;3509;0;;
;62;3541;3577;0;;
;63;3541;3714;0;;
;64;3541;3705;0;;
;65;3530;3798;0;;
;66;3530;4074;0;;
;67;3530;4126;0;;
;68;3530;4113;0;;
;69;3444;4026;0;;
;70;3444;4053;0;;
;71;3444;4164;0;;
;72;3444;4008;0;;
;73;3229;4002;0;;
;74;3229;3893;0;;
;75;3229;3753;0;;
;76;3229;3564;0;;
;77;2986;3639;0;;
;78;2986;3431;0;;
;79;2986;3266;0;;
;80;2986;2982;0;;
;81;2639;2802;0;;
;82;2639;2893;0;;
;83;2639;2802;0;;
;84;2639;2584;0;;
;85;2285;2471;0;;
;86;2285;2344;0;;
;87;2285;2346;0;;
;88;2285;2278;0;;
;89;2053;2233;0;;
;90;2053;2242;0;;
;91;2053;2134;0;;
;92;2053;2014;0;;
;93;1905;2019;0;;
;94;1905;1953;0;;
;95;1905;2000;0;;
;96;1905;1982;0;;
2006-04-05;1;2189;1924;0;;
;2;2189;1965;0;;
;3;2189;1929;0;;
;4;2189;1967;0;;
;5;2154;1961;0;;
;6;2154;1991;0;;
;7;2154;2002;0;;
;8;2154;2000;0;;
;9;2163;1999;0;;
;10;2163;2044;0;;
;11;2163;2045;0;;
;12;2163;2109;0;;
;13;2226;2135;0;;
;14;2226;2094;0;;
;15;2226;2030;0;;
;16;2226;2026;0;;
;17;2282;2002;0;;
;18;2282;2057;0;;
;19;2282;2052;0;;
;20;2282;2021;0;;
;21;2362;2041;0;;
;22;2362;2067;0;;
;23;2362;2091;0;;
;24;2362;2290;0;;
;25;2357;2136;0;;
;26;2357;2105;0;;
;27;2357;2067;0;;
;28;2357;1988;0;;
;29;2394;1858;0;;
;30;2394;1833;0;;
;31;2394;1774;0;;
;32;2394;1784;0;;
;33;2410;1690;0;;
;34;2410;1664;0;;
;35;2410;1480;0;;
;36;2410;1410;0;;
;37;2475;1368;0;;
;38;2475;1369;0;;
;39;2475;1311;0;;
;40;2475;1349;0;;
;41;2550;1323;0;;
;42;2550;1489;0;;
;43;2550;1629;0;;
;44;2550;1759;0;;
;45;2715;1821;0;;
;46;2715;1902;0;;
;47;2715;1884;0;;
;48;2715;1834;0;;
;49;2869;1902;0;;
;50;2869;1931;0;;
;51;2869;1956;0;;
;52;2869;1881;0;;
;53;2957;2029;0;;
;54;2957;2136;0;;
;55;2957;2124;0;;
;56;2957;2204;0;;
;57;3003;2356;0;;
