Windenergieeinspeisung;;;;
2006 Mai;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-05-01;1;407;486;0;;
;2;407;530;0;;
;3;407;551;0;;
;4;407;569;0;;
;5;411;589;0;;
;6;411;651;0;;
;7;411;692;0;;
;8;411;693;0;;
;9;424;675;0;;
;10;424;661;0;;
;11;424;715;0;;
;12;424;698;0;;
;13;437;682;0;;
;14;437;699;0;;
;15;437;753;0;;
;16;437;805;0;;
;17;470;790;0;;
;18;470;789;0;;
;19;470;736;0;;
;20;470;691;0;;
;21;501;662;0;;
;22;501;656;0;;
;23;501;691;0;;
;24;501;691;0;;
;25;534;717;0;;
;26;534;747;0;;
;27;534;726;0;;
;28;534;755;0;;
;29;609;731;0;;
;30;609;729;0;;
;31;609;724;0;;
;32;609;676;0;;
;33;698;640;0;;
;34;698;598;0;;
;35;698;586;0;;
;36;698;564;0;;
;37;868;564;0;;
;38;868;592;0;;
;39;868;663;0;;
;40;868;869;0;;
;41;1169;1040;0;;
;42;1169;1193;0;;
;43;1169;1318;0;;
;44;1169;1385;0;;
;45;1478;1521;0;;
;46;1478;1614;0;;
;47;1478;1699;0;;
;48;1478;1765;0;;
;49;1846;1801;0;;
;50;1846;1912;0;;
;51;1846;1969;0;;
;52;1846;2104;0;;
;53;2175;2185;0;;
;54;2175;2300;0;;
;55;2175;2456;0;;
;56;2175;2524;0;;
;57;2325;2589;0;;
;58;2325;2566;0;;
;59;2325;2627;0;;
;60;2325;2755;0;;
;61;2333;2712;0;;
;62;2333;2661;0;;
;63;2333;2668;0;;
;64;2333;2570;0;;
;65;2311;2483;0;;
;66;2311;2443;0;;
;67;2311;2373;0;;
;68;2311;2303;0;;
;69;2180;2254;0;;
;70;2180;2181;0;;
;71;2180;2136;0;;
;72;2180;2083;0;;
;73;1973;1952;0;;
;74;1973;1937;0;;
;75;1973;1796;0;;
;76;1973;1671;0;;
;77;1579;1534;0;;
;78;1579;1434;0;;
;79;1579;1396;0;;
;80;1579;1314;0;;
;81;1286;1234;0;;
;82;1286;1172;0;;
;83;1286;1077;0;;
;84;1286;1138;0;;
;85;1081;1156;0;;
;86;1081;1089;0;;
;87;1081;1023;0;;
;88;1081;972;0;;
;89;952;1003;0;;
;90;952;1075;0;;
;91;952;1094;0;;
;92;952;1055;0;;
;93;901;992;0;;
;94;901;965;0;;
;95;901;982;0;;
;96;901;956;0;;
2006-05-02;1;786;909;0;;
;2;786;948;0;;
;3;786;901;0;;
;4;786;800;0;;
;5;732;758;0;;
;6;732;724;0;;
;7;732;749;0;;
;8;732;762;0;;
;9;690;762;0;;
;10;690;824;0;;
;11;690;829;0;;
;12;690;758;0;;
;13;666;735;0;;
;14;666;697;0;;
;15;666;689;0;;
;16;666;703;0;;
;17;651;716;0;;
;18;651;642;0;;
;19;651;633;0;;
;20;651;628;0;;
;21;644;620;0;;
;22;644;625;0;;
;23;644;621;0;;
;24;644;610;0;;
;25;606;604;0;;
;26;606;609;0;;
;27;606;603;0;;
;28;606;647;0;;
;29;604;634;0;;
;30;604;618;0;;
;31;604;537;0;;
;32;604;493;0;;
;33;645;473;0;;
;34;645;476;0;;
;35;645;467;0;;
;36;645;508;0;;
;37;737;603;0;;
;38;737;601;0;;
;39;737;615;0;;
;40;737;569;0;;
;41;808;613;0;;
;42;808;579;0;;
;43;808;573;0;;
;44;808;504;0;;
;45;859;440;0;;
;46;859;456;0;;
;47;859;448;0;;
;48;859;447;0;;
;49;960;470;0;;
;50;960;459;0;;
;51;960;474;0;;
;52;960;468;0;;
;53;1018;440;0;;
;54;1018;424;0;;
;55;1018;355;0;;
;56;1018;339;0;;
;57;977;358;0;;
;58;977;362;0;;
;59;977;380;0;;
;60;977;370;0;;
;61;945;393;0;;
;62;945;355;0;;
;63;945;301;0;;
;64;945;281;0;;
;65;849;261;0;;
;66;849;224;0;;
;67;849;252;0;;
;68;849;257;0;;
;69;685;235;0;;
;70;685;204;0;;
;71;685;191;0;;
;72;685;162;0;;
;73;526;144;0;;
