Windenergieeinspeisung;;;;
2006 Juni;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-06-01;1;1973;2921;0;;
;2;1973;2840;0;;
;3;1973;2797;0;;
;4;1973;2789;0;;
;5;1952;2818;0;;
;6;1952;2818;0;;
;7;1952;2838;0;;
;8;1952;2735;0;;
;9;1953;2614;0;;
;10;1953;2552;0;;
;11;1953;2549;0;;
;12;1953;2617;0;;
;13;1969;2822;0;;
;14;1969;2851;0;;
;15;1969;2865;0;;
;16;1969;2842;0;;
;17;1996;2905;0;;
;18;1996;3073;0;;
;19;1996;2848;0;;
;20;1996;2882;0;;
;21;1997;2878;0;;
;22;1997;2804;0;;
;23;1997;2825;0;;
;24;1997;2971;0;;
;25;1983;2993;0;;
;26;1983;2997;0;;
;27;1983;3020;0;;
;28;1983;3102;0;;
;29;2078;3162;0;;
;30;2078;3204;0;;
;31;2078;3288;0;;
;32;2078;3301;0;;
;33;2302;3327;0;;
;34;2302;3344;0;;
;35;2302;3277;0;;
;36;2302;3485;0;;
;37;2608;3545;0;;
;38;2608;3654;0;;
;39;2608;3506;0;;
;40;2608;3459;0;;
;41;2848;3553;0;;
;42;2848;3547;0;;
;43;2848;3562;0;;
;44;2848;3448;0;;
;45;3097;3472;0;;
;46;3097;3636;0;;
;47;3097;3453;0;;
;48;3097;3356;0;;
;49;3303;3281;0;;
;50;3303;3455;0;;
;51;3303;3496;0;;
;52;3303;3421;0;;
;53;3385;3141;0;;
;54;3385;3297;0;;
;55;3385;3062;0;;
;56;3385;3043;0;;
;57;3445;3068;0;;
;58;3445;3176;0;;
;59;3445;2977;0;;
;60;3445;2960;0;;
;61;3460;2935;0;;
;62;3460;2965;0;;
;63;3460;2844;0;;
;64;3460;2841;0;;
;65;3397;2827;0;;
;66;3397;2783;0;;
;67;3397;2818;0;;
;68;3397;2574;0;;
;69;3292;2512;0;;
;70;3292;2349;0;;
;71;3292;2406;0;;
;72;3292;2265;0;;
;73;3071;2139;0;;
;74;3071;2035;0;;
;75;3071;2018;0;;
;76;3071;1937;0;;
;77;2687;1836;0;;
;78;2687;1721;0;;
;79;2687;1654;0;;
;80;2687;1653;0;;
;81;2226;1527;0;;
;82;2226;1432;0;;
;83;2226;1269;0;;
;84;2226;1196;0;;
;85;1726;1099;0;;
;86;1726;986;0;;
;87;1726;911;0;;
;88;1726;916;0;;
;89;1340;867;0;;
;90;1340;843;0;;
;91;1340;819;0;;
;92;1340;809;0;;
;93;1053;769;0;;
;94;1053;729;0;;
;95;1053;704;0;;
;96;1053;699;0;;
2006-06-02;1;692;713;0;;
;2;692;684;0;;
;3;692;612;0;;
;4;692;576;0;;
;5;632;565;0;;
;6;632;567;0;;
;7;632;546;0;;
;8;632;562;0;;
;9;544;520;0;;
;10;544;469;0;;
;11;544;413;0;;
;12;544;398;0;;
;13;502;391;0;;
;14;502;397;0;;
;15;502;394;0;;
;16;502;344;0;;
;17;464;325;0;;
;18;464;317;0;;
;19;464;309;0;;
;20;464;320;0;;
;21;420;305;0;;
;22;420;291;0;;
;23;420;275;0;;
;24;420;271;0;;
;25;399;282;0;;
;26;399;275;0;;
;27;399;269;0;;
;28;399;234;0;;
;29;383;214;0;;
;30;383;187;0;;
;31;383;144;0;;
;32;383;123;0;;
;33;410;119;0;;
;34;410;116;0;;
;35;410;117;0;;
;36;410;114;0;;
;37;442;108;0;;
;38;442;99;0;;
;39;442;99;0;;
;40;442;93;0;;
;41;463;87;0;;
;42;463;90;0;;
;43;463;89;0;;
;44;463;84;0;;
;45;522;86;0;;
;46;522;76;0;;
;47;522;71;0;;
;48;522;81;0;;
;49;584;93;0;;
;50;584;111;0;;
;51;584;131;0;;
;52;584;157;0;;
;53;681;179;0;;
;54;681;185;0;;
;55;681;243;0;;
;56;681;265;0;;
;57;765;285;0;;
;58;765;312;0;;
;59;765;323;0;;
;60;765;342;0;;
;61;866;361;0;;
;62;866;372;0;;
;63;866;394;0;;
;64;866;404;0;;
;65;962;451;0;;
;66;962;503;0;;
;67;962;542;0;;
;68;962;594;0;;
;69;1024;610;0;;
;70;1024;649;0;;
;71;1024;670;0;;
;72;1024;647;0;;
;73;998;648;0;;
;74;998;633;0;;
;75;998;575;0;;
;76;998;594;0;;
;77;952;607;0;;
;78;952;595;0;;
;79;952;615;0;;
;80;952;569;0;;
;81;824;517;0;;
;82;824;515;0;;
;83;824;513;0;;
;84;824;497;0;;
;85;701;468;0;;
;86;701;471;0;;
;87;701;510;0;;
;88;701;502;0;;
;89;589;478;0;;
;90;589;464;0;;
;91;589;453;0;;
;92;589;446;0;;
;93;528;435;0;;
;94;528;427;0;;
;95;528;423;0;;
