Windenergieeinspeisung;;;;
2006 Juli;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-07-01;1;272;851;0;;
;2;272;847;0;;
;3;272;829;0;;
;4;272;818;0;;
;5;299;789;0;;
;6;299;771;0;;
;7;299;769;0;;
;8;299;754;0;;
;9;298;727;0;;
;10;298;706;0;;
;11;298;680;0;;
;12;298;666;0;;
;13;280;650;0;;
;14;280;641;0;;
;15;280;655;0;;
;16;280;640;0;;
;17;271;608;0;;
;18;271;580;0;;
;19;271;585;0;;
;20;271;571;0;;
;21;279;571;0;;
;22;279;570;0;;
;23;279;530;0;;
;24;279;522;0;;
;25;299;496;0;;
;26;299;457;0;;
;27;299;435;0;;
;28;299;416;0;;
;29;326;386;0;;
;30;326;357;0;;
;31;326;298;0;;
;32;326;230;0;;
;33;366;169;0;;
;34;366;134;0;;
;35;366;113;0;;
;36;366;98;0;;
;37;398;87;0;;
;38;398;82;0;;
;39;398;87;0;;
;40;398;96;0;;
;41;468;98;0;;
;42;468;104;0;;
;43;468;111;0;;
;44;468;125;0;;
;45;556;132;0;;
;46;556;140;0;;
;47;556;134;0;;
;48;556;132;0;;
;49;644;138;0;;
;50;644;151;0;;
;51;644;158;0;;
;52;644;163;0;;
;53;742;196;0;;
;54;742;197;0;;
;55;742;221;0;;
;56;742;246;0;;
;57;798;259;0;;
;58;798;276;0;;
;59;798;307;0;;
;60;798;300;0;;
;61;843;349;0;;
;62;843;383;0;;
;63;843;418;0;;
;64;843;447;0;;
;65;863;457;0;;
;66;863;460;0;;
;67;863;489;0;;
;68;863;480;0;;
;69;885;502;0;;
;70;885;492;0;;
;71;885;498;0;;
;72;885;493;0;;
;73;878;519;0;;
;74;878;520;0;;
;75;878;519;0;;
;76;878;530;0;;
;77;796;543;0;;
;78;796;547;0;;
;79;796;537;0;;
;80;796;541;0;;
;81;745;564;0;;
;82;745;545;0;;
;83;745;526;0;;
;84;745;526;0;;
;85;604;517;0;;
;86;604;528;0;;
;87;604;553;0;;
;88;604;603;0;;
;89;482;636;0;;
;90;482;698;0;;
;91;482;765;0;;
;92;482;828;0;;
;93;517;931;0;;
;94;517;979;0;;
;95;517;1014;0;;
;96;517;1037;0;;
2006-07-02;1;499;1030;0;;
;2;499;1070;0;;
;3;499;1120;0;;
;4;499;1111;0;;
;5;486;1105;0;;
;6;486;1058;0;;
;7;486;1063;0;;
;8;486;1062;0;;
;9;467;1058;0;;
;10;467;1050;0;;
;11;467;1007;0;;
;12;467;995;0;;
;13;453;980;0;;
;14;453;991;0;;
;15;453;1003;0;;
;16;453;1008;0;;
;17;432;989;0;;
;18;432;973;0;;
;19;432;959;0;;
;20;432;959;0;;
;21;445;971;0;;
;22;445;988;0;;
;23;445;1034;0;;
;24;445;1058;0;;
;25;464;1032;0;;
;26;464;994;0;;
;27;464;958;0;;
;28;464;893;0;;
;29;504;834;0;;
;30;504;758;0;;
;31;504;651;0;;
;32;504;534;0;;
;33;534;416;0;;
;34;534;341;0;;
;35;534;270;0;;
;36;534;225;0;;
;37;597;200;0;;
;38;597;167;0;;
;39;597;168;0;;
;40;597;180;0;;
