Windenergieeinspeisung;;;;
2006 August;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-08-01;1;950;428;0;;
;2;950;401;0;;
;3;950;433;0;;
;4;950;411;0;;
;5;993;411;0;;
;6;993;426;0;;
;7;993;450;0;;
;8;993;410;0;;
;9;1063;437;0;;
;10;1063;448;0;;
;11;1063;450;0;;
;12;1063;485;0;;
;13;1146;530;0;;
;14;1146;568;0;;
;15;1146;620;0;;
;16;1146;692;0;;
;17;1239;717;0;;
;18;1239;758;0;;
;19;1239;804;0;;
;20;1239;878;0;;
;21;1329;912;0;;
;22;1329;939;0;;
;23;1329;964;0;;
;24;1329;972;0;;
;25;1439;950;0;;
;26;1439;975;0;;
;27;1439;1033;0;;
;28;1439;1063;0;;
;29;1553;1091;0;;
;30;1553;1042;0;;
;31;1553;1018;0;;
;32;1553;1047;0;;
;33;1580;973;0;;
;34;1580;911;0;;
;35;1580;854;0;;
;36;1580;819;0;;
;37;1705;782;0;;
;38;1705;726;0;;
;39;1705;731;0;;
;40;1705;820;0;;
;41;1896;909;0;;
;42;1896;982;0;;
;43;1896;1057;0;;
;44;1896;1144;0;;
;45;2275;1270;0;;
;46;2275;1357;0;;
;47;2275;1430;0;;
;48;2275;1588;0;;
;49;2659;1669;0;;
;50;2659;1793;0;;
;51;2659;1892;0;;
;52;2659;2139;0;;
;53;2817;2217;0;;
;54;2817;2230;0;;
;55;2817;2195;0;;
;56;2817;2316;0;;
;57;2705;2201;0;;
;58;2705;2249;0;;
;59;2705;2296;0;;
;60;2705;2135;0;;
;61;2628;2131;0;;
;62;2628;2280;0;;
;63;2628;2378;0;;
;64;2628;2446;0;;
;65;2304;2318;0;;
;66;2304;2457;0;;
;67;2304;2641;0;;
;68;2304;2547;0;;
;69;2268;2669;0;;
;70;2268;2746;0;;
;71;2268;2552;0;;
;72;2268;2419;0;;
;73;2148;2363;0;;
;74;2148;2174;0;;
;75;2148;2194;0;;
;76;2148;2168;0;;
;77;1969;1944;0;;
;78;1969;1924;0;;
;79;1969;1692;0;;
;80;1969;1432;0;;
;81;1845;1533;0;;
;82;1845;1503;0;;
;83;1845;1354;0;;
;84;1845;1407;0;;
;85;1672;1483;0;;
;86;1672;1390;0;;
;87;1672;1476;0;;
;88;1672;1503;0;;
;89;1618;1481;0;;
;90;1618;1382;0;;
;91;1618;1423;0;;
;92;1618;1397;0;;
;93;1667;1388;0;;
;94;1667;1393;0;;
;95;1667;1402;0;;
;96;1667;1411;0;;
2006-08-02;1;1898;1493;0;;
;2;1898;1549;0;;
;3;1898;1603;0;;
;4;1898;1547;0;;
;5;1873;1528;0;;
;6;1873;1643;0;;
;7;1873;1666;0;;
;8;1873;1757;0;;
;9;1926;1769;0;;
;10;1926;1798;0;;
;11;1926;1753;0;;
;12;1926;1776;0;;
;13;2018;1797;0;;
;14;2018;1891;0;;
;15;2018;1907;0;;
;16;2018;1839;0;;
;17;2146;1889;0;;
;18;2146;1920;0;;
;19;2146;1946;0;;
;20;2146;1971;0;;
;21;2262;1884;0;;
;22;2262;1849;0;;
;23;2262;1796;0;;
;24;2262;1811;0;;
;25;2377;1854;0;;
;26;2377;1834;0;;
;27;2377;1931;0;;
;28;2377;1931;0;;
;29;2611;1953;0;;
;30;2611;1972;0;;
;31;2611;1998;0;;
;32;2611;2006;0;;
;33;2917;1920;0;;
