Windenergieeinspeisung;;;;
2006 September;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-09-01;1;2719;2493;0;;
;2;2719;2529;0;;
;3;2719;2493;0;;
;4;2719;2385;0;;
;5;2699;2358;0;;
;6;2699;2403;0;;
;7;2699;2323;0;;
;8;2699;2362;0;;
;9;2679;2314;0;;
;10;2679;2185;0;;
;11;2679;2149;0;;
;12;2679;2122;0;;
;13;2676;2101;0;;
;14;2676;2063;0;;
;15;2676;2003;0;;
;16;2676;1967;0;;
;17;2718;1911;0;;
;18;2718;1813;0;;
;19;2718;1753;0;;
;20;2718;1704;0;;
;21;2780;1670;0;;
;22;2780;1600;0;;
;23;2780;1488;0;;
;24;2780;1425;0;;
;25;2711;1424;0;;
;26;2711;1474;0;;
;27;2711;1426;0;;
;28;2711;1434;0;;
;29;2742;1481;0;;
;30;2742;1505;0;;
;31;2742;1490;0;;
;32;2742;1507;0;;
;33;2727;1550;0;;
;34;2727;1487;0;;
;35;2727;1451;0;;
;36;2727;1458;0;;
;37;2655;1490;0;;
;38;2655;1500;0;;
;39;2655;1476;0;;
;40;2655;1444;0;;
;41;2718;1428;0;;
;42;2718;1368;0;;
;43;2718;1369;0;;
;44;2718;1574;0;;
;45;2762;1713;0;;
;46;2762;1711;0;;
;47;2762;1704;0;;
;48;2762;1780;0;;
;49;2822;1956;0;;
;50;2822;2057;0;;
;51;2822;2088;0;;
;52;2822;2151;0;;
;53;2826;1987;0;;
;54;2826;2010;0;;
;55;2826;1951;0;;
;56;2826;1942;0;;
;57;2784;1828;0;;
;58;2784;1779;0;;
;59;2784;1748;0;;
;60;2784;1689;0;;
;61;2715;1660;0;;
;62;2715;1690;0;;
;63;2715;1649;0;;
;64;2715;1527;0;;
;65;2590;1614;0;;
;66;2590;1560;0;;
;67;2590;1333;0;;
;68;2590;1314;0;;
;69;2363;1373;0;;
;70;2363;1354;0;;
;71;2363;1293;0;;
;72;2363;1191;0;;
;73;2169;1140;0;;
;74;2169;1076;0;;
;75;2169;1028;0;;
;76;2169;1030;0;;
;77;1977;926;0;;
;78;1977;900;0;;
;79;1977;878;0;;
;80;1977;849;0;;
;81;1815;823;0;;
;82;1815;839;0;;
;83;1815;840;0;;
;84;1815;843;0;;
;85;1719;874;0;;
;86;1719;932;0;;
;87;1719;936;0;;
;88;1719;954;0;;
;89;1676;950;0;;
;90;1676;980;0;;
;91;1676;982;0;;
;92;1676;1013;0;;
;93;1688;1063;0;;
;94;1688;1074;0;;
;95;1688;1020;0;;
;96;1688;976;0;;
2006-09-02;1;1494;979;0;;
;2;1494;1052;0;;
;3;1494;1086;0;;
;4;1494;1059;0;;
;5;1512;1039;0;;
;6;1512;946;0;;
;7;1512;885;0;;
;8;1512;846;0;;
;9;1517;806;0;;
;10;1517;776;0;;
;11;1517;788;0;;
;12;1517;770;0;;
;13;1496;763;0;;
;14;1496;728;0;;
;15;1496;717;0;;
;16;1496;743;0;;
;17;1467;746;0;;
;18;1467;755;0;;
;19;1467;747;0;;
;20;1467;728;0;;
;21;1450;755;0;;
;22;1450;743;0;;
;23;1450;737;0;;
;24;1450;743;0;;
;25;1449;734;0;;
;26;1449;727;0;;
;27;1449;734;0;;
;28;1449;748;0;;
;29;1492;745;0;;
;30;1492;741;0;;
;31;1492;707;0;;
;32;1492;646;0;;
;33;1537;598;0;;
;34;1537;598;0;;
;35;1537;556;0;;
;36;1537;492;0;;
;37;1497;423;0;;
;38;1497;373;0;;
;39;1497;325;0;;
;40;1497;291;0;;
;41;1529;257;0;;
;42;1529;222;0;;
;43;1529;235;0;;
;44;1529;251;0;;
;45;1545;248;0;;
;46;1545;257;0;;
;47;1545;310;0;;
;48;1545;383;0;;
