Windenergieeinspeisung;;;;
2006 Oktober;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-10-01;1;988;250;0;;
;2;988;229;0;;
;3;988;220;0;;
;4;988;241;0;;
;5;1045;279;0;;
;6;1045;318;0;;
;7;1045;352;0;;
;8;1045;352;0;;
;9;1130;331;0;;
;10;1130;319;0;;
;11;1130;359;0;;
;12;1130;426;0;;
;13;1183;487;0;;
;14;1183;523;0;;
;15;1183;524;0;;
;16;1183;552;0;;
;17;1290;588;0;;
;18;1290;555;0;;
;19;1290;546;0;;
;20;1290;551;0;;
;21;1423;506;0;;
;22;1423;459;0;;
;23;1423;473;0;;
;24;1423;490;0;;
;25;1524;554;0;;
;26;1524;573;0;;
;27;1524;586;0;;
;28;1524;625;0;;
;29;1649;636;0;;
;30;1649;587;0;;
;31;1649;571;0;;
;32;1649;579;0;;
;33;1803;692;0;;
;34;1803;764;0;;
;35;1803;799;0;;
;36;1803;849;0;;
;37;2102;856;0;;
;38;2102;833;0;;
;39;2102;763;0;;
;40;2102;705;0;;
;41;2359;688;0;;
;42;2359;655;0;;
;43;2359;598;0;;
;44;2359;535;0;;
;45;2688;512;0;;
;46;2688;516;0;;
;47;2688;577;0;;
;48;2688;652;0;;
;49;2990;680;0;;
;50;2990;738;0;;
;51;2990;774;0;;
;52;2990;833;0;;
;53;3325;893;0;;
;54;3325;975;0;;
;55;3325;1177;0;;
;56;3325;1187;0;;
;57;3379;1179;0;;
;58;3379;1169;0;;
;59;3379;1228;0;;
;60;3379;1261;0;;
;61;3330;1397;0;;
;62;3330;1339;0;;
;63;3330;1407;0;;
;64;3330;1393;0;;
;65;3118;1408;0;;
;66;3118;1376;0;;
;67;3118;1387;0;;
;68;3118;1431;0;;
;69;2840;1332;0;;
;70;2840;1221;0;;
;71;2840;1193;0;;
;72;2840;1252;0;;
;73;2487;1142;0;;
;74;2487;1043;0;;
;75;2487;1052;0;;
;76;2487;1276;0;;
;77;2324;1286;0;;
;78;2324;1249;0;;
;79;2324;1483;0;;
;80;2324;1304;0;;
;81;2198;1365;0;;
;82;2198;1342;0;;
;83;2198;1389;0;;
;84;2198;1357;0;;
;85;2220;1439;0;;
;86;2220;1547;0;;
;87;2220;1435;0;;
;88;2220;1227;0;;
;89;2315;1232;0;;
;90;2315;1236;0;;
;91;2315;1294;0;;
;92;2315;1296;0;;
;93;2418;1379;0;;
;94;2418;1494;0;;
;95;2418;1705;0;;
;96;2418;1880;0;;
2006-10-02;1;2356;1892;0;;
;2;2356;1887;0;;
;3;2356;1861;0;;
;4;2356;1827;0;;
;5;2501;1992;0;;
;6;2501;2261;0;;
;7;2501;2213;0;;
;8;2501;2007;0;;
;9;2766;1807;0;;
;10;2766;1912;0;;
;11;2766;1813;0;;
;12;2766;1891;0;;
;13;2916;1905;0;;
;14;2916;1889;0;;
;15;2916;1934;0;;
;16;2916;1942;0;;
;17;3129;1962;0;;
;18;3129;2106;0;;
;19;3129;2261;0;;
;20;3129;2332;0;;
;21;3274;2318;0;;
;22;3274;2511;0;;
;23;3274;2606;0;;
;24;3274;2698;0;;
;25;3463;2720;0;;
;26;3463;2831;0;;
;27;3463;2958;0;;
;28;3463;3008;0;;
;29;3741;3061;0;;
;30;3741;3165;0;;
;31;3741;3219;0;;
;32;3741;3395;0;;
;33;4081;3384;0;;
;34;4081;3499;0;;
;35;4081;3604;0;;
;36;4081;3639;0;;
;37;4488;3749;0;;
;38;4488;3685;0;;
;39;4488;3848;0;;
;40;4488;4057;0;;
;41;4812;4213;0;;
;42;4812;4295;0;;
;43;4812;4460;0;;
;44;4812;4637;0;;
;45;5100;4772;0;;
;46;5100;4839;0;;
;47;5100;4957;0;;
;48;5100;5010;0;;
;49;5355;5127;0;;
;50;5355;5202;0;;
;51;5355;5205;0;;
;52;5355;5238;0;;
;53;5518;5292;0;;
;54;5518;5214;0;;
;55;5518;5227;0;;
;56;5518;5186;0;;
;57;5615;4983;0;;
;58;5615;4950;0;;
