Windenergieeinspeisung;;;;
2006 November;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-11-01;1;6309;5909;0;;
;2;6309;5905;0;;
;3;6309;5913;0;;
;4;6309;5817;0;;
;5;6471;5932;0;;
;6;6471;5994;0;;
;7;6471;6059;0;;
;8;6471;6110;0;;
;9;6563;6282;0;;
;10;6563;6387;0;;
;11;6563;6511;0;;
;12;6563;6514;0;;
;13;6608;6354;0;;
;14;6608;6466;0;;
;15;6608;6565;0;;
;16;6608;6643;0;;
;17;6732;6596;0;;
;18;6732;6565;0;;
;19;6732;6447;0;;
;20;6732;6452;0;;
;21;6771;6321;0;;
;22;6771;6221;0;;
;23;6771;6129;0;;
;24;6771;6036;0;;
;25;6768;6124;0;;
;26;6768;6432;0;;
;27;6768;6707;0;;
;28;6768;6796;0;;
;29;6667;6737;0;;
;30;6667;6685;0;;
;31;6667;6698;0;;
;32;6667;6604;0;;
;33;6560;6434;0;;
;34;6560;6422;0;;
;35;6560;6505;0;;
;36;6560;6577;0;;
;37;6345;6547;0;;
;38;6345;6555;0;;
;39;6345;6462;0;;
;40;6345;6316;0;;
;41;6188;6367;0;;
;42;6188;6218;0;;
;43;6188;6128;0;;
;44;6188;6196;0;;
;45;5962;6231;0;;
;46;5962;6072;0;;
;47;5962;5895;0;;
;48;5962;5869;0;;
;49;5767;6095;0;;
;50;5767;6058;0;;
;51;5767;6018;0;;
;52;5767;6094;0;;
;53;5620;6157;0;;
;54;5620;6082;0;;
;55;5620;6067;0;;
;56;5620;5965;0;;
;57;5470;5951;0;;
;58;5470;5732;0;;
;59;5470;5569;0;;
;60;5470;5569;0;;
;61;5247;5545;0;;
;62;5247;5321;0;;
;63;5247;5224;0;;
;64;5247;5222;0;;
;65;4860;5275;0;;
;66;4860;4827;0;;
;67;4860;4634;0;;
;68;4860;4600;0;;
;69;4222;4349;0;;
;70;4222;4186;0;;
;71;4222;4018;0;;
;72;4222;3869;0;;
;73;3421;3999;0;;
;74;3421;4027;0;;
;75;3421;4114;0;;
;76;3421;3935;0;;
;77;2619;3752;0;;
;78;2619;3826;0;;
;79;2619;3929;0;;
;80;2619;3812;0;;
;81;1905;3714;0;;
;82;1905;3581;0;;
;83;1905;3547;0;;
;84;1905;3352;0;;
;85;1377;3345;0;;
;86;1377;3179;0;;
;87;1377;3048;0;;
;88;1377;3009;0;;
;89;1048;2843;0;;
;90;1048;2689;0;;
;91;1048;2549;0;;
;92;1048;2442;0;;
;93;859;2321;0;;
;94;859;2023;0;;
;95;859;1819;0;;
;96;859;1746;0;;
2006-11-02;1;930;1760;0;;
