Windenergieeinspeisung;;;;
2006 Dezember;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];Anteil Offshore [MW];
2006-12-01;1;2104;2191;0;;
;2;2104;2280;0;;
;3;2104;2308;0;;
;4;2104;2377;0;;
;5;2099;2353;0;;
;6;2099;2271;0;;
;7;2099;2114;0;;
;8;2099;1978;0;;
;9;1992;1860;0;;
;10;1992;1811;0;;
;11;1992;1759;0;;
;12;1992;1663;0;;
;13;2022;1686;0;;
;14;2022;1651;0;;
;15;2022;1670;0;;
;16;2022;1600;0;;
;17;2082;1598;0;;
;18;2082;1637;0;;
;19;2082;1648;0;;
;20;2082;1631;0;;
;21;2168;1584;0;;
;22;2168;1654;0;;
;23;2168;1747;0;;
;24;2168;1893;0;;
;25;2266;1917;0;;
;26;2266;1969;0;;
;27;2266;2009;0;;
;28;2266;1926;0;;
;29;2373;1971;0;;
;30;2373;2080;0;;
;31;2373;2117;0;;
;32;2373;2149;0;;
;33;2524;2136;0;;
;34;2524;2214;0;;
;35;2524;2195;0;;
;36;2524;2264;0;;
;37;2725;2361;0;;
;38;2725;2450;0;;
;39;2725;2454;0;;
;40;2725;2384;0;;
;41;2807;2425;0;;
;42;2807;2449;0;;
;43;2807;2484;0;;
;44;2807;2596;0;;
;45;2819;2641;0;;
;46;2819;2663;0;;
;47;2819;2741;0;;
;48;2819;2765;0;;
;49;2714;2798;0;;
;50;2714;2819;0;;
;51;2714;2741;0;;
;52;2714;2733;0;;
;53;2606;2700;0;;
;54;2606;2588;0;;
;55;2606;2428;0;;
;56;2606;2363;0;;
;57;2530;2313;0;;
;58;2530;2189;0;;
;59;2530;2110;0;;
;60;2530;2125;0;;
;61;2464;2128;0;;
;62;2464;2132;0;;
;63;2464;2214;0;;
;64;2464;2175;0;;
;65;2502;2085;0;;
;66;2502;2031;0;;
;67;2502;1938;0;;
;68;2502;1981;0;;
;69;2579;2043;0;;
;70;2579;2165;0;;
;71;2579;2300;0;;
;72;2579;2232;0;;
;73;2677;2225;0;;
;74;2677;2206;0;;
;75;2677;2262;0;;
;76;2677;2361;0;;
;77;2864;2518;0;;
;78;2864;2568;0;;
;79;2864;2517;0;;
;80;2864;2488;0;;
;81;3017;2288;0;;
;82;3017;2252;0;;
;83;3017;2320;0;;
;84;3017;2278;0;;
;85;3188;2392;0;;
;86;3188;2355;0;;
;87;3188;2397;0;;
;88;3188;2441;0;;
;89;3287;2471;0;;
;90;3287;2480;0;;
;91;3287;2570;0;;
;92;3287;2747;0;;
;93;3264;2739;0;;
;94;3264;2651;0;;
;95;3264;2631;0;;
;96;3264;2566;0;;
2006-12-02;1;2362;2405;0;;
;2;2362;2422;0;;
;3;2362;2457;0;;
;4;2362;2447;0;;
;5;2387;2506;0;;
;6;2387;2536;0;;
;7;2387;2472;0;;
;8;2387;2548;0;;
;9;2437;2634;0;;
;10;2437;2658;0;;
;11;2437;2676;0;;
;12;2437;2701;0;;
;13;2542;2733;0;;
;14;2542;2805;0;;
;15;2542;2891;0;;
;16;2542;2891;0;;
;17;2701;2935;0;;
;18;2701;2913;0;;
;19;2701;2877;0;;
;20;2701;2968;0;;
;21;2834;2862;0;;
;22;2834;2860;0;;
;23;2834;2781;0;;
;24;2834;2810;0;;
;25;2938;2812;0;;
;26;2938;2762;0;;
;27;2938;2800;0;;
;28;2938;2846;0;;
;29;2953;2774;0;;
;30;2953;2824;0;;
;31;2953;2845;0;;
;32;2953;2797;0;;
;33;2915;2805;0;;
;34;2915;2786;0;;
;35;2915;2825;0;;
;36;2915;2853;0;;
;37;2873;2831;0;;
;38;2873;2787;0;;
;39;2873;2809;0;;
;40;2873;2734;0;;
;41;2790;2577;0;;
;42;2790;2490;0;;
;43;2790;2450;0;;
;44;2790;2463;0;;
;45;2747;2435;0;;
;46;2747;2441;0;;
;47;2747;2453;0;;
;48;2747;2461;0;;
;49;2723;2423;0;;
;50;2723;2590;0;;
;51;2723;2587;0;;
;52;2723;2552;0;;
;53;2614;2515;0;;
;54;2614;2543;0;;
;55;2614;2586;0;;
;56;2614;2589;0;;
;57;2595;2558;0;;
;58;2595;2514;0;;
;59;2595;2464;0;;
;60;2595;2460;0;;
;61;2466;2430;0;;
;62;2466;2358;0;;
;63;2466;2365;0;;
;64;2466;2277;0;;
;65;2407;2260;0;;
;66;2407;2351;0;;
;67;2407;2333;0;;
;68;2407;2360;0;;
;69;2360;2439;0;;
;70;2360;2413;0;;
;71;2360;2403;0;;
;72;2360;2419;0;;
;73;2401;2633;0;;
;74;2401;2796;0;;
;75;2401;2901;0;;
;76;2401;2883;0;;
;77;2510;2836;0;;
;78;2510;2853;0;;
;79;2510;2921;0;;
;80;2510;2944;0;;
;81;2614;2791;0;;
;82;2614;2694;0;;
;83;2614;2682;0;;
;84;2614;2771;0;;
;85;2699;2780;0;;
;86;2699;2647;0;;
;87;2699;2555;0;;
;88;2699;2459;0;;
;89;2695;2472;0;;
;90;2695;2408;0;;
;91;2695;2406;0;;
;92;2695;2283;0;;
;93;2628;2251;0;;
;94;2628;2169;0;;
;95;2628;2167;0;;
;96;2628;2120;0;;
2006-12-03;1;1961;2183;0;;
;2;1961;2090;0;;
;3;1961;2019;0;;
;4;1961;1971;0;;
;5;1920;1905;0;;
;6;1920;1815;0;;
;7;1920;1769;0;;
;8;1920;1770;0;;
;9;1891;1713;0;;
;10;1891;1690;0;;
;11;1891;1683;0;;
;12;1891;1739;0;;
;13;1811;1778;0;;
;14;1811;1881;0;;
;15;1811;1761;0;;
;16;1811;1647;0;;
;17;1804;1644;0;;
;18;1804;1612;0;;
;19;1804;1566;0;;
;20;1804;1587;0;;
;21;1892;1651;0;;
;22;1892;1648;0;;
;23;1892;1698;0;;
;24;1892;1797;0;;
;25;2078;1909;0;;
;26;2078;1939;0;;
;27;2078;2037;0;;
;28;2078;2087;0;;
;29;2346;2176;0;;
;30;2346;2364;0;;
;31;2346;2435;0;;
;32;2346;2562;0;;
;33;2673;2693;0;;
;34;2673;2740;0;;
;35;2673;2898;0;;
;36;2673;2978;0;;
;37;3113;2968;0;;
;38;3113;2993;0;;
;39;3113;3092;0;;
;40;3113;3223;0;;
;41;3567;3229;0;;
;42;3567;3373;0;;
;43;3567;3591;0;;
;44;3567;3696;0;;
;45;4076;3774;0;;
;46;4076;3892;0;;
;47;4076;4117;0;;
;48;4076;4271;0;;
;49;4540;4371;0;;
;50;4540;4599;0;;
;51;4540;4740;0;;
;52;4540;4773;0;;
;53;4829;4765;0;;
;54;4829;4865;0;;
;55;4829;4948;0;;
;56;4829;5106;0;;
;57;5082;5223;0;;
;58;5082;5342;0;;
;59;5082;5285;0;;
;60;5082;5310;0;;
;61;5166;5290;0;;
;62;5166;5335;0;;
;63;5166;5330;0;;
;64;5166;5394;0;;
;65;5222;5374;0;;
;66;5222;5357;0;;
;67;5222;5403;0;;
;68;5222;5493;0;;
;69;5272;5513;0;;
;70;5272;5477;0;;
;71;5272;5392;0;;
;72;5272;5294;0;;
;73;5290;5390;0;;
;74;5290;5422;0;;
;75;5290;5326;0;;
;76;5290;5339;0;;
;77;5264;5382;0;;
;78;5264;5355;0;;
;79;5264;5233;0;;
;80;5264;5199;0;;
;81;5207;5132;0;;
;82;5207;5077;0;;
;83;5207;5040;0;;
;84;5207;5180;0;;
;85;5087;5028;0;;
;86;5087;4766;0;;
;87;5087;4726;0;;
;88;5087;4628;0;;
;89;5030;4637;0;;
;90;5030;4695;0;;
;91;5030;4627;0;;
;92;5030;4414;0;;
;93;5023;4459;0;;
;94;5023;4572;0;;
;95;5023;4696;0;;
;96;5023;4687;0;;
2006-12-04;1;4851;4747;0;;
;2;4851;4768;0;;
;3;4851;4881;0;;
;4;4851;4993;0;;
;5;4960;5031;0;;
;6;4960;5211;0;;
;7;4960;5121;0;;
;8;4960;5119;0;;
;9;5133;5071;0;;
;10;5133;5051;0;;
;11;5133;5000;0;;
;12;5133;5014;0;;
;13;5268;4987;0;;
;14;5268;5033;0;;
;15;5268;5059;0;;
;16;5268;5088;0;;
;17;5381;5107;0;;
;18;5381;5171;0;;
;19;5381;5186;0;;
;20;5381;5178;0;;
;21;5450;5187;0;;
;22;5450;5200;0;;
;23;5450;5271;0;;
;24;5450;5282;0;;
;25;5528;5267;0;;
;26;5528;5197;0;;
;27;5528;5206;0;;
;28;5528;5181;0;;
;29;5508;5071;0;;
;30;5508;5003;0;;
;31;5508;5058;0;;
;32;5508;5114;0;;
;33;5427;5118;0;;
;34;5427;5075;0;;
;35;5427;4953;0;;
;36;5427;4859;0;;
;37;5542;4753;0;;
;38;5542;4649;0;;
;39;5542;4569;0;;
;40;5542;4595;0;;
;41;5587;4614;0;;
;42;5587;4617;0;;
;43;5587;4650;0;;
;44;5587;4723;0;;
;45;5701;4754;0;;
;46;5701;4574;0;;
;47;5701;4444;0;;
;48;5701;4382;0;;
;49;5799;4194;0;;
;50;5799;4117;0;;
;51;5799;4013;0;;
;52;5799;3829;0;;
;53;5828;3737;0;;
;54;5828;3665;0;;
;55;5828;3644;0;;
;56;5828;3600;0;;
;57;5632;3621;0;;
;58;5632;3700;0;;
;59;5632;3656;0;;
;60;5632;3418;0;;
;61;5149;3501;0;;
;62;5149;3313;0;;
;63;5149;3292;0;;
;64;5149;3185;0;;
;65;4536;3002;0;;
;66;4536;2887;0;;
;67;4536;2908;0;;
;68;4536;2907;0;;
;69;4017;2921;0;;
;70;4017;2843;0;;
;71;4017;2971;0;;
;72;4017;3030;0;;
;73;3915;3064;0;;
;74;3915;3107;0;;
;75;3915;3396;0;;
;76;3915;3477;0;;
;77;3907;3516;0;;
;78;3907;3639;0;;
;79;3907;3673;0;;
;80;3907;3688;0;;
;81;4094;3769;0;;
;82;4094;3866;0;;
;83;4094;3919;0;;
;84;4094;4012;0;;
