Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.09.2015;00:00:00;01.09.2015;00:15:00;161,00;110;
01.09.2015;00:15:00;01.09.2015;00:30:00;163,00;111;
01.09.2015;00:30:00;01.09.2015;00:45:00;165,00;109;
01.09.2015;00:45:00;01.09.2015;01:00:00;167,00;97;
01.09.2015;01:00:00;01.09.2015;01:15:00;168,00;101;
01.09.2015;01:15:00;01.09.2015;01:30:00;168,00;106;
01.09.2015;01:30:00;01.09.2015;01:45:00;168,00;103;
01.09.2015;01:45:00;01.09.2015;02:00:00;168,00;104;
01.09.2015;02:00:00;01.09.2015;02:15:00;166,00;84;
01.09.2015;02:15:00;01.09.2015;02:30:00;162,00;72;
01.09.2015;02:30:00;01.09.2015;02:45:00;158,00;62;
01.09.2015;02:45:00;01.09.2015;03:00:00;154,00;49;
01.09.2015;03:00:00;01.09.2015;03:15:00;147,00;38;
01.09.2015;03:15:00;01.09.2015;03:30:00;137,00;35;
01.09.2015;03:30:00;01.09.2015;03:45:00;127,00;40;
01.09.2015;03:45:00;01.09.2015;04:00:00;116,00;50;
01.09.2015;04:00:00;01.09.2015;04:15:00;107,00;58;
01.09.2015;04:15:00;01.09.2015;04:30:00;99,00;61;
01.09.2015;04:30:00;01.09.2015;04:45:00;91,00;64;
01.09.2015;04:45:00;01.09.2015;05:00:00;83,00;66;
01.09.2015;05:00:00;01.09.2015;05:15:00;77,00;62;
01.09.2015;05:15:00;01.09.2015;05:30:00;73,00;65;
01.09.2015;05:30:00;01.09.2015;05:45:00;68,00;66;
01.09.2015;05:45:00;01.09.2015;06:00:00;64,00;63;
01.09.2015;06:00:00;01.09.2015;06:15:00;61,00;60;
01.09.2015;06:15:00;01.09.2015;06:30:00;60,00;50;
01.09.2015;06:30:00;01.09.2015;06:45:00;58,00;57;
01.09.2015;06:45:00;01.09.2015;07:00:00;57,00;65;
01.09.2015;07:00:00;01.09.2015;07:15:00;56,00;66;
01.09.2015;07:15:00;01.09.2015;07:30:00;57,00;65;
01.09.2015;07:30:00;01.09.2015;07:45:00;57,00;59;
01.09.2015;07:45:00;01.09.2015;08:00:00;57,00;53;
01.09.2015;08:00:00;01.09.2015;08:15:00;57,00;49;
01.09.2015;08:15:00;01.09.2015;08:30:00;56,00;50;
01.09.2015;08:30:00;01.09.2015;08:45:00;54,00;59;
01.09.2015;08:45:00;01.09.2015;09:00:00;53,00;57;
01.09.2015;09:00:00;01.09.2015;09:15:00;54,00;51;
01.09.2015;09:15:00;01.09.2015;09:30:00;56,00;45;
01.09.2015;09:30:00;01.09.2015;09:45:00;58,00;56;
01.09.2015;09:45:00;01.09.2015;10:00:00;60,00;65;
01.09.2015;10:00:00;01.09.2015;10:15:00;62,00;78;
01.09.2015;10:15:00;01.09.2015;10:30:00;65,00;79;
01.09.2015;10:30:00;01.09.2015;10:45:00;67,00;93;
01.09.2015;10:45:00;01.09.2015;11:00:00;70,00;107;
01.09.2015;11:00:00;01.09.2015;11:15:00;76,00;110;
01.09.2015;11:15:00;01.09.2015;11:30:00;86,00;140;
01.09.2015;11:30:00;01.09.2015;11:45:00;97,00;153;
01.09.2015;11:45:00;01.09.2015;12:00:00;107,00;164;
01.09.2015;12:00:00;01.09.2015;12:15:00;124,00;198;
01.09.2015;12:15:00;01.09.2015;12:30:00;148,00;218;
01.09.2015;12:30:00;01.09.2015;12:45:00;171,00;276;
01.09.2015;12:45:00;01.09.2015;13:00:00;194,00;306;
01.09.2015;13:00:00;01.09.2015;13:15:00;214,00;349;
01.09.2015;13:15:00;01.09.2015;13:30:00;230,00;371;
01.09.2015;13:30:00;01.09.2015;13:45:00;246,00;395;
01.09.2015;13:45:00;01.09.2015;14:00:00;261,00;372;
01.09.2015;14:00:00;01.09.2015;14:15:00;281,00;344;
01.09.2015;14:15:00;01.09.2015;14:30:00;304,00;330;
01.09.2015;14:30:00;01.09.2015;14:45:00;327,00;308;
01.09.2015;14:45:00;01.09.2015;15:00:00;350,00;296;
01.09.2015;15:00:00;01.09.2015;15:15:00;366,00;282;
01.09.2015;15:15:00;01.09.2015;15:30:00;376,00;337;
01.09.2015;15:30:00;01.09.2015;15:45:00;385,00;326;
01.09.2015;15:45:00;01.09.2015;16:00:00;394,00;345;
01.09.2015;16:00:00;01.09.2015;16:15:00;399,00;337;
01.09.2015;16:15:00;01.09.2015;16:30:00;400,00;310;
01.09.2015;16:30:00;01.09.2015;16:45:00;401,00;284;
01.09.2015;16:45:00;01.09.2015;17:00:00;402,00;284;
01.09.2015;17:00:00;01.09.2015;17:15:00;394,00;273;
01.09.2015;17:15:00;01.09.2015;17:30:00;377,00;314;
01.09.2015;17:30:00;01.09.2015;17:45:00;360,00;266;
01.09.2015;17:45:00;01.09.2015;18:00:00;343,00;244;
01.09.2015;18:00:00;01.09.2015;18:15:00;322,00;245;
01.09.2015;18:15:00;01.09.2015;18:30:00;299,00;238;
01.09.2015;18:30:00;01.09.2015;18:45:00;275,00;228;
01.09.2015;18:45:00;01.09.2015;19:00:00;251,00;238;
01.09.2015;19:00:00;01.09.2015;19:15:00;229,00;222;
01.09.2015;19:15:00;01.09.2015;19:30:00;209,00;222;
01.09.2015;19:30:00;01.09.2015;19:45:00;189,00;210;
01.09.2015;19:45:00;01.09.2015;20:00:00;169,00;196;
01.09.2015;20:00:00;01.09.2015;20:15:00;153,00;179;
01.09.2015;20:15:00;01.09.2015;20:30:00;143,00;177;
01.09.2015;20:30:00;01.09.2015;20:45:00;133,00;162;
01.09.2015;20:45:00;01.09.2015;21:00:00;123,00;130;
01.09.2015;21:00:00;01.09.2015;21:15:00;115,00;133;
01.09.2015;21:15:00;01.09.2015;21:30:00;110,00;123;
01.09.2015;21:30:00;01.09.2015;21:45:00;104,00;120;
01.09.2015;21:45:00;01.09.2015;22:00:00;99,00;112;
01.09.2015;22:00:00;01.09.2015;22:15:00;95,00;92;
01.09.2015;22:15:00;01.09.2015;22:30:00;92,00;88;
01.09.2015;22:30:00;01.09.2015;22:45:00;88,00;91;
01.09.2015;22:45:00;01.09.2015;23:00:00;85,00;86;
01.09.2015;23:00:00;01.09.2015;23:15:00;83,00;79;
01.09.2015;23:15:00;01.09.2015;23:30:00;81,00;79;
01.09.2015;23:30:00;01.09.2015;23:45:00;79,00;80;
01.09.2015;23:45:00;02.09.2015;00:00:00;76,00;88;
02.09.2015;00:00:00;02.09.2015;00:15:00;49,00;89;
02.09.2015;00:15:00;02.09.2015;00:30:00;44,00;88;
02.09.2015;00:30:00;02.09.2015;00:45:00;39,00;74;
02.09.2015;00:45:00;02.09.2015;01:00:00;33,00;67;
02.09.2015;01:00:00;02.09.2015;01:15:00;28,00;72;
02.09.2015;01:15:00;02.09.2015;01:30:00;24,00;67;
02.09.2015;01:30:00;02.09.2015;01:45:00;20,00;50;
02.09.2015;01:45:00;02.09.2015;02:00:00;16,00;40;
02.09.2015;02:00:00;02.09.2015;02:15:00;12,00;32;
02.09.2015;02:15:00;02.09.2015;02:30:00;9,00;23;
02.09.2015;02:30:00;02.09.2015;02:45:00;6,00;28;
02.09.2015;02:45:00;02.09.2015;03:00:00;2,00;21;
02.09.2015;03:00:00;02.09.2015;03:15:00;1,00;13;
02.09.2015;03:15:00;02.09.2015;03:30:00;0,00;12;
02.09.2015;03:30:00;02.09.2015;03:45:00;0,00;8;
02.09.2015;03:45:00;02.09.2015;04:00:00;0,00;6;
02.09.2015;04:00:00;02.09.2015;04:15:00;0,00;3;
02.09.2015;04:15:00;02.09.2015;04:30:00;0,00;4;
02.09.2015;04:30:00;02.09.2015;04:45:00;0,00;4;
02.09.2015;04:45:00;02.09.2015;05:00:00;0,00;3;
02.09.2015;05:00:00;02.09.2015;05:15:00;0,00;2;
02.09.2015;05:15:00;02.09.2015;05:30:00;0,00;1;
02.09.2015;05:30:00;02.09.2015;05:45:00;0,00;1;
02.09.2015;05:45:00;02.09.2015;06:00:00;0,00;2;
02.09.2015;06:00:00;02.09.2015;06:15:00;0,00;2;
02.09.2015;06:15:00;02.09.2015;06:30:00;0,00;2;
02.09.2015;06:30:00;02.09.2015;06:45:00;0,00;2;
02.09.2015;06:45:00;02.09.2015;07:00:00;0,00;2;
02.09.2015;07:00:00;02.09.2015;07:15:00;0,00;1;
02.09.2015;07:15:00;02.09.2015;07:30:00;0,00;1;
02.09.2015;07:30:00;02.09.2015;07:45:00;0,00;1;
02.09.2015;07:45:00;02.09.2015;08:00:00;0,00;1;
02.09.2015;08:00:00;02.09.2015;08:15:00;0,00;0;
02.09.2015;08:15:00;02.09.2015;08:30:00;0,00;0;
02.09.2015;08:30:00;02.09.2015;08:45:00;0,00;0;
02.09.2015;08:45:00;02.09.2015;09:00:00;0,00;0;
