Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW)
01.03.2015;00:00:00;01.03.2015;00:15:00;105;157
01.03.2015;00:15:00;01.03.2015;00:30:00;106;159
01.03.2015;00:30:00;01.03.2015;00:45:00;108;160
01.03.2015;00:45:00;01.03.2015;01:00:00;109;184
01.03.2015;01:00:00;01.03.2015;01:15:00;111;196
01.03.2015;01:15:00;01.03.2015;01:30:00;114;183
01.03.2015;01:30:00;01.03.2015;01:45:00;116;175
01.03.2015;01:45:00;01.03.2015;02:00:00;119;189
01.03.2015;02:00:00;01.03.2015;02:15:00;121;194
01.03.2015;02:15:00;01.03.2015;02:30:00;124;190
01.03.2015;02:30:00;01.03.2015;02:45:00;126;165
01.03.2015;02:45:00;01.03.2015;03:00:00;129;197
01.03.2015;03:00:00;01.03.2015;03:15:00;131;184
01.03.2015;03:15:00;01.03.2015;03:30:00;133;205
01.03.2015;03:30:00;01.03.2015;03:45:00;134;216
01.03.2015;03:45:00;01.03.2015;04:00:00;136;182
01.03.2015;04:00:00;01.03.2015;04:15:00;138;208
01.03.2015;04:15:00;01.03.2015;04:30:00;139;171
01.03.2015;04:30:00;01.03.2015;04:45:00;141;177
01.03.2015;04:45:00;01.03.2015;05:00:00;143;173
01.03.2015;05:00:00;01.03.2015;05:15:00;144;199
01.03.2015;05:15:00;01.03.2015;05:30:00;145;185
01.03.2015;05:30:00;01.03.2015;05:45:00;146;194
01.03.2015;05:45:00;01.03.2015;06:00:00;146;214
01.03.2015;06:00:00;01.03.2015;06:15:00;149;219
01.03.2015;06:15:00;01.03.2015;06:30:00;152;247
01.03.2015;06:30:00;01.03.2015;06:45:00;155;234
01.03.2015;06:45:00;01.03.2015;07:00:00;159;245
01.03.2015;07:00:00;01.03.2015;07:15:00;163;248
01.03.2015;07:15:00;01.03.2015;07:30:00;168;264
01.03.2015;07:30:00;01.03.2015;07:45:00;174;268
01.03.2015;07:45:00;01.03.2015;08:00:00;179;274
01.03.2015;08:00:00;01.03.2015;08:15:00;184;261
01.03.2015;08:15:00;01.03.2015;08:30:00;190;283
01.03.2015;08:30:00;01.03.2015;08:45:00;196;292
01.03.2015;08:45:00;01.03.2015;09:00:00;202;294
01.03.2015;09:00:00;01.03.2015;09:15:00;207;298
01.03.2015;09:15:00;01.03.2015;09:30:00;209;283
01.03.2015;09:30:00;01.03.2015;09:45:00;212;264
01.03.2015;09:45:00;01.03.2015;10:00:00;215;344
01.03.2015;10:00:00;01.03.2015;10:15:00;216;319
01.03.2015;10:15:00;01.03.2015;10:30:00;217;336
01.03.2015;10:30:00;01.03.2015;10:45:00;217;315
01.03.2015;10:45:00;01.03.2015;11:00:00;217;331
01.03.2015;11:00:00;01.03.2015;11:15:00;217;316
01.03.2015;11:15:00;01.03.2015;11:30:00;217;302
01.03.2015;11:30:00;01.03.2015;11:45:00;216;304
01.03.2015;11:45:00;01.03.2015;12:00:00;216;300
01.03.2015;12:00:00;01.03.2015;12:15:00;216;272
01.03.2015;12:15:00;01.03.2015;12:30:00;219;209
01.03.2015;12:30:00;01.03.2015;12:45:00;221;239
01.03.2015;12:45:00;01.03.2015;13:00:00;223;213
01.03.2015;13:00:00;01.03.2015;13:15:00;223;226
01.03.2015;13:15:00;01.03.2015;13:30:00;220;246
01.03.2015;13:30:00;01.03.2015;13:45:00;218;204
01.03.2015;13:45:00;01.03.2015;14:00:00;216;264
01.03.2015;14:00:00;01.03.2015;14:15:00;213;231
01.03.2015;14:15:00;01.03.2015;14:30:00;210;209
01.03.2015;14:30:00;01.03.2015;14:45:00;206;169
01.03.2015;14:45:00;01.03.2015;15:00:00;203;184
